,propertyName,amenitytype,amenity
0,Jackson Apartments,Unique Features,Bike Storage
1,Jackson Apartments,Unique Features,Co-Working Lounge
2,Jackson Apartments,Unique Features,Dog Wash
3,Jackson Apartments,Unique Features,Fitness Lounge
4,Jackson Apartments,Unique Features,Grill Deck
5,Jackson Apartments,Unique Features,Makers Space
6,Jackson Apartments,Unique Features,Music Lounge
7,Jackson Apartments,Unique Features,Skyline Lounge
8,Jackson Apartments,Unique Features,Social Lounge
9,Jackson Apartments,Unique Features,Storage
10,Jackson Apartments,Pet Policy,$50 Monthly Pet Rent
11,Jackson Apartments,Property Information,Built in 2020
12,Jackson Apartments,Property Information,532 Units/7 Stories
13,Jackson Apartments,Lease Length,None
14,Jackson Apartments,Fitness & Recreation,Fitness Center
15,Elan 41,Property Information,Built in 1987
16,Elan 41,Property Information,Renovated in Jul 2015
17,Elan 41,Property Information,78 Units/3 Stories
18,Elan 41,Services,Laundry Facilities
19,Elan 41,Services,Maintenance on site
20,Elan 41,Services,Pet Care
21,Elan 41,Services,Pet Play Area
22,Elan 41,Interior,Elevator
23,Elan 41,Interior,Business Center
24,Elan 41,Interior,Clubhouse
25,Elan 41,Interior,Lounge
26,Elan 41,Outdoor Space,Gated
27,Elan 41,Outdoor Space,Courtyard
28,Elan 41,Outdoor Space,Grill
29,Elan 41,Fitness & Recreation,Fitness Center
30,Elan 41,Fitness & Recreation,Bike Storage
31,Elan 41,Features,High Speed Internet Access
32,Elan 41,Features,Washer/Dryer - In Unit
33,Elan 41,Features,Air Conditioning
34,Elan 41,Features,Heating
35,Elan 41,Features,Ceiling Fans
36,Elan 41,Features,Smoke Free
37,Elan 41,Features,Cable Ready
38,Elan 41,Features,Tub/Shower
39,Elan 41,Kitchen,Dishwasher
40,Elan 41,Kitchen,Disposal
41,Elan 41,Kitchen,Eat-in Kitchen
42,Elan 41,Kitchen,Microwave
43,Elan 41,Kitchen,Range
44,Elan 41,Kitchen,Refrigerator
45,Elan 41,Living Space,Hardwood Floors
46,Elan 41,Living Space,Carpet
47,Elan 41,Living Space,Dining Room
48,Elan 41,Living Space,Views
49,Elan 41,Living Space,Walk-In Closets
50,Elan 41,Living Space,Loft Layout
51,Elan 41,Security,Package Service
52,Elan 41,Security,Controlled Access
53,Elan 41,Security,Property Manager on Site
54,Circa Green Lake Apartments,Unique Features,24-Hour Fitness Center
55,Circa Green Lake Apartments,Unique Features,2nd Floor
56,Circa Green Lake Apartments,Unique Features,"3,500 sf Green Roof Top Deck with Grilling Station"
57,Circa Green Lake Apartments,Unique Features,3rd Floor
58,Circa Green Lake Apartments,Unique Features,4th Floor
59,Circa Green Lake Apartments,Unique Features,ADA
60,Circa Green Lake Apartments,Unique Features,Bar Kitchen
61,Circa Green Lake Apartments,Unique Features,BBQ/Picnic Area
62,Circa Green Lake Apartments,Unique Features,Bike Racks
63,Circa Green Lake Apartments,Unique Features,Cable Ready
64,Circa Green Lake Apartments,Unique Features,Closed Bedroom
65,Circa Green Lake Apartments,Unique Features,Courtyard
66,Circa Green Lake Apartments,Unique Features,Den
67,Circa Green Lake Apartments,Unique Features,Dishwasher
68,Circa Green Lake Apartments,Unique Features,Dishwasher and Microwave
69,Circa Green Lake Apartments,Unique Features,Disposal
70,Circa Green Lake Apartments,Unique Features,Efficient Appliances
71,Circa Green Lake Apartments,Unique Features,Electronic Thermostat
72,Circa Green Lake Apartments,Unique Features,European Cabinetry With Nickel Accents
73,Circa Green Lake Apartments,Unique Features,Extra Storage
74,Circa Green Lake Apartments,Unique Features,Full Lk View
75,Circa Green Lake Apartments,Unique Features,Green Building
76,Circa Green Lake Apartments,Unique Features,Hardwood Floors
77,Circa Green Lake Apartments,Unique Features,High Ceilings
78,Circa Green Lake Apartments,Unique Features,Microwave
79,Circa Green Lake Apartments,Unique Features,Nook
80,Circa Green Lake Apartments,Unique Features,Oversized Window With Abundant Natural Light
81,Circa Green Lake Apartments,Unique Features,Partial Lk View
82,Circa Green Lake Apartments,Unique Features,Patio/Balcony
83,Circa Green Lake Apartments,Unique Features,Poor Location/Corner
84,Circa Green Lake Apartments,Unique Features,Quartz Countertops
85,Circa Green Lake Apartments,Unique Features,Recycling
86,Circa Green Lake Apartments,Unique Features,Refrigerator
87,Circa Green Lake Apartments,Unique Features,Reserved Parking
88,Circa Green Lake Apartments,Unique Features,Spacious Floorplans With Ample Closets
89,Circa Green Lake Apartments,Unique Features,Street Side
90,Circa Green Lake Apartments,Unique Features,Sundeck Seating and BBQ
91,Circa Green Lake Apartments,Unique Features,Views of Green Lake and Park
92,Circa Green Lake Apartments,Unique Features,Walk In Closet
93,Circa Green Lake Apartments,Unique Features,Washer/Dryer
94,Circa Green Lake Apartments,Unique Features,Wheelchair Access
95,Circa Green Lake Apartments,Unique Features,Window Coverings
96,Circa Green Lake Apartments,Pet Policy,$45 Monthly Pet Rent
97,Circa Green Lake Apartments,Pet Policy,75 lb Weight Limit
98,Circa Green Lake Apartments,Pet Policy,2 Pet Limit
99,Circa Green Lake Apartments,Property Information,Built in 2009
100,Circa Green Lake Apartments,Property Information,199 Units/4 Stories
101,Circa Green Lake Apartments,Lease Length,"6, 7, 8, 9, 10, 11, 12"
102,Circa Green Lake Apartments,Services,Maintenance on site
103,Circa Green Lake Apartments,Services,On-Site Retail
104,Circa Green Lake Apartments,Services,Recycling
105,Circa Green Lake Apartments,Services,Renters Insurance Program
106,Circa Green Lake Apartments,Services,Online Services
107,Circa Green Lake Apartments,Services,Composting
108,Circa Green Lake Apartments,Services,Planned Social Activities
109,Circa Green Lake Apartments,Services,Public Transportation
110,Circa Green Lake Apartments,Interior,Elevator
111,Circa Green Lake Apartments,Interior,Business Center
112,Circa Green Lake Apartments,Interior,Clubhouse
113,Circa Green Lake Apartments,Interior,Lounge
114,Circa Green Lake Apartments,Interior,Multi Use Room
115,Circa Green Lake Apartments,Interior,Storage Space
116,Circa Green Lake Apartments,Outdoor Space,Gated
117,Circa Green Lake Apartments,Outdoor Space,Roof Terrace
118,Circa Green Lake Apartments,Outdoor Space,Sundeck
119,Circa Green Lake Apartments,Outdoor Space,Cabana
120,Circa Green Lake Apartments,Outdoor Space,Courtyard
121,Circa Green Lake Apartments,Outdoor Space,Grill
122,Circa Green Lake Apartments,Outdoor Space,Waterfront
123,Circa Green Lake Apartments,Outdoor Space,Lake Access
124,Circa Green Lake Apartments,Outdoor Space,Balcony
125,Circa Green Lake Apartments,Outdoor Space,Deck
126,Circa Green Lake Apartments,Outdoor Space,Grill
127,Circa Green Lake Apartments,Fitness & Recreation,Fitness Center
128,Circa Green Lake Apartments,Fitness & Recreation,Bike Storage
129,Circa Green Lake Apartments,Fitness & Recreation,Walking/Biking Trails
130,Circa Green Lake Apartments,Features,High Speed Internet Access
131,Circa Green Lake Apartments,Features,Washer/Dryer - In Unit
132,Circa Green Lake Apartments,Features,Air Conditioning
133,Circa Green Lake Apartments,Features,Heating
134,Circa Green Lake Apartments,Features,Smoke Free
135,Circa Green Lake Apartments,Features,Cable Ready
136,Circa Green Lake Apartments,Features,Storage Units
137,Circa Green Lake Apartments,Features,Tub/Shower
138,Circa Green Lake Apartments,Features,Intercom
139,Circa Green Lake Apartments,Features,Wheelchair Accessible (Rooms)
140,Circa Green Lake Apartments,Kitchen,Dishwasher
141,Circa Green Lake Apartments,Kitchen,Disposal
142,Circa Green Lake Apartments,Kitchen,Granite Countertops
143,Circa Green Lake Apartments,Kitchen,Stainless Steel Appliances
144,Circa Green Lake Apartments,Kitchen,Island Kitchen
145,Circa Green Lake Apartments,Kitchen,Kitchen
146,Circa Green Lake Apartments,Kitchen,Microwave
147,Circa Green Lake Apartments,Kitchen,Oven
148,Circa Green Lake Apartments,Kitchen,Range
149,Circa Green Lake Apartments,Kitchen,Refrigerator
150,Circa Green Lake Apartments,Kitchen,Freezer
151,Circa Green Lake Apartments,Kitchen,Breakfast Nook
152,Circa Green Lake Apartments,Living Space,Hardwood Floors
153,Circa Green Lake Apartments,Living Space,Carpet
154,Circa Green Lake Apartments,Living Space,Vinyl Flooring
155,Circa Green Lake Apartments,Living Space,Office
156,Circa Green Lake Apartments,Living Space,Den
157,Circa Green Lake Apartments,Living Space,Views
158,Circa Green Lake Apartments,Living Space,Walk-In Closets
159,Circa Green Lake Apartments,Living Space,Linen Closet
160,Circa Green Lake Apartments,Living Space,Double Pane Windows
161,Circa Green Lake Apartments,Living Space,Window Coverings
162,Circa Green Lake Apartments,Security,Package Service
163,Circa Green Lake Apartments,Security,Controlled Access
164,Circa Green Lake Apartments,Security,Property Manager on Site
165,LUNA,Unique Features,*In Select Units
166,LUNA,Unique Features,24-7 Package Lockers
167,LUNA,Unique Features,Air-Conditioning Ports In Select Homes
168,LUNA,Unique Features,Ample Closet Space
169,LUNA,Unique Features,Ceiling Fans
170,LUNA,Unique Features,Conference Room
171,LUNA,Unique Features,Dog Run
172,LUNA,Unique Features,Gated Community
173,LUNA,Unique Features,Loft Style Floor Plans
174,LUNA,Unique Features,Media Center & Movie Theatre
175,LUNA,Unique Features,Onsite Bike Storage With Work Station
176,LUNA,Unique Features,Onsite Storage Lockers
177,LUNA,Unique Features,Resident Lounge
178,LUNA,Unique Features,Rooftop Deck with BBQ
179,LUNA,Unique Features,Stainless Steel Appliances
180,LUNA,Unique Features,Stone Countertops
181,LUNA,Unique Features,Washer & Dryer in Unit
182,LUNA,Pet Policy,$400 Deposit
183,LUNA,Pet Policy,$50 Monthly Pet Rent
184,LUNA,Pet Policy,2 Pet Limit
185,LUNA,Property Information,Built in 2020
186,LUNA,Property Information,108 Units/4 Stories
187,LUNA,Lease Length,"9 months,12 months,13 months"
188,LUNA,Interior,Clubhouse
189,Tower 12,Unique Features,Air Conditioning
190,Tower 12,Unique Features,Barbecue/Grill Area
191,Tower 12,Unique Features,Beverage & Popcorn Service
192,Tower 12,Unique Features,Bike Repair/Wash Station
193,Tower 12,Unique Features,Bike Storage
194,Tower 12,Unique Features,Bluetooth & Chromecast
195,Tower 12,Unique Features,California Closets
196,Tower 12,Unique Features,Cardio Machines
197,Tower 12,Unique Features,Central AC and Heating per apartment
198,Tower 12,Unique Features,Central Air Conditioning
199,Tower 12,Unique Features,Chef Style Kitchens
200,Tower 12,Unique Features,Coffee Station
201,Tower 12,Unique Features,Compost
202,Tower 12,Unique Features,Conference Room
203,Tower 12,Unique Features,Contemporary wood cabinetry
204,Tower 12,Unique Features,Courtesy Patrol
205,Tower 12,Unique Features,Courtyard
206,Tower 12,Unique Features,Custom closet systems
207,Tower 12,Unique Features,Deep Soaking Tub
208,Tower 12,Unique Features,Designer grade kitchen and bath fixtures
209,Tower 12,Unique Features,Designer Tile Sorround
210,Tower 12,Unique Features,Dining Room
211,Tower 12,Unique Features,Dishwasher
212,Tower 12,Unique Features,Electric Car Charging Station
213,Tower 12,Unique Features,Electric window solar shades
214,Tower 12,Unique Features,Electronic wall safe
215,Tower 12,Unique Features,Energy Star Certified Appliances
216,Tower 12,Unique Features,Exclusively designed upscale interior finishes
217,Tower 12,Unique Features,Fingerprint Safe
218,Tower 12,Unique Features,Fitness Programs/Classes
219,Tower 12,Unique Features,Gameroom
220,Tower 12,Unique Features,Garage Parking
221,Tower 12,Unique Features,Garbage Disposal
222,Tower 12,Unique Features,Gas Range
223,Tower 12,Unique Features,Guest Apartment
224,Tower 12,Unique Features,Hardwood Floors
225,Tower 12,Unique Features,Hardwood Vinyl Plank Flooring
226,Tower 12,Unique Features,Hidden TV Outlets
227,Tower 12,Unique Features,Ice Maker
228,Tower 12,Unique Features,Instant Hot Water Dispenser
229,Tower 12,Unique Features,Intercom/Call Box
230,Tower 12,Unique Features,Kitchen Island
231,Tower 12,Unique Features,Large closets
232,Tower 12,Unique Features,LEED Rating
233,Tower 12,Unique Features,LEED Silver
234,Tower 12,Unique Features,Linen Closet
235,Tower 12,Unique Features,Microwave
236,Tower 12,Unique Features,Movie Theater
237,Tower 12,Unique Features,On-Site ATM
238,Tower 12,Unique Features,On-Site Storage
239,Tower 12,Unique Features,Pantry
240,Tower 12,Unique Features,Patio/Balcony
241,Tower 12,Unique Features,Pet Play Area/ Dog Park
242,Tower 12,Unique Features,Planned Social Activities
243,Tower 12,Unique Features,Private decks
244,Tower 12,Unique Features,Recycling
245,Tower 12,Unique Features,Resident Lounge
246,Tower 12,Unique Features,Rooftop Lounge
247,Tower 12,Unique Features,Smoke Free
248,Tower 12,Unique Features,Soft Close Drawers
249,Tower 12,Unique Features,Solar Shades
250,Tower 12,Unique Features,Sprinkler System
251,Tower 12,Unique Features,Trash Chute w/ Recycling and Compost
252,Tower 12,Unique Features,USB Charging Ports
253,Tower 12,Unique Features,Vaulted Ceiling
254,Tower 12,Unique Features,Video Surveillance/Patrol
255,Tower 12,Unique Features,Walk in Closets
256,Tower 12,Unique Features,Walk-In Closets
257,Tower 12,Unique Features,Washer/Dryer
258,Tower 12,Unique Features,Washer/Dryer Hookup
259,Tower 12,Unique Features,Waterfront
260,Tower 12,Unique Features,Weight Machines
261,Tower 12,Unique Features,Wheelchair Accessible (Rooms)
262,Tower 12,Unique Features,Wide plank flooring
263,Tower 12,Unique Features,Wifi in Amenity Spaces
264,Tower 12,Unique Features,Wine Fridge*
265,Tower 12,Unique Features,Yoga Studio/Room
266,Tower 12,Pet Policy,$50 Monthly Pet Rent
267,Tower 12,Pet Policy,2 Pet Limit
268,Tower 12,Property Information,Built in 2017
269,Tower 12,Property Information,314 Units/35 Stories
270,Tower 12,Property Information,LEED Certified Silver
271,Tower 12,Lease Length,"6, 7, 8, 9, 10, 11, 12, 13"
272,Tower 12,Services,Maintenance on site
273,Tower 12,Services,24 Hour Availability
274,Tower 12,Interior,Elevator
275,Tower 12,Interior,Clubhouse
276,Tower 12,Interior,Multi Use Room
277,Tower 12,Outdoor Space,Gated
278,Tower 12,Outdoor Space,Balcony
279,Tower 12,Fitness & Recreation,Fitness Center
280,Tower 12,Fitness & Recreation,Bike Storage
281,Tower 12,Fitness & Recreation,Media Center/Movie Theatre
282,Tower 12,Features,High Speed Internet Access
283,Tower 12,Features,Washer/Dryer - In Unit
284,Tower 12,Features,Heating
285,Tower 12,Features,Smoke Free
286,Tower 12,Features,Tub/Shower
287,Tower 12,Kitchen,Range
288,Tower 12,Living Space,Views
289,Tower 12,Security,Property Manager on Site
290,Tower 12,Security,Concierge
291,Common Summit,Unique Features,Fitness Rooms
292,Common Summit,Unique Features,Heating
293,Common Summit,Unique Features,Individual Leasing
294,Common Summit,Unique Features,Keyless Access
295,Common Summit,Unique Features,Lounge With Tv
296,Common Summit,Property Information,Built in 1900
297,Common Summit,Property Information,59 Units/3 Stories
298,Common Summit,Property Information,Furnished
299,Common Summit,Lease Length,3-12 month
300,Common Summit,Services,Community-Wide WiFi
301,Common Summit,Services,Laundry Facilities
302,Common Summit,Services,Furnished Units Available
303,Common Summit,Services,Recycling
304,Common Summit,Services,Pet Washing Station
305,Common Summit,Interior,Business Center
306,Common Summit,Interior,Lounge
307,Common Summit,Interior,Multi Use Room
308,Common Summit,Outdoor Space,Courtyard
309,Common Summit,Outdoor Space,Grill
310,Common Summit,Outdoor Space,Grill
311,Common Summit,Fitness & Recreation,Fitness Center
312,Common Summit,Fitness & Recreation,Bike Storage
313,Common Summit,Features,High Speed Internet Access
314,Common Summit,Features,Wi-Fi
315,Common Summit,Features,Air Conditioning
316,Common Summit,Features,Heating
317,Common Summit,Features,Cable Ready
318,Common Summit,Features,Storage Units
319,Common Summit,Features,Tub/Shower
320,Common Summit,Kitchen,Kitchen
321,Common Summit,Kitchen,Range
322,Harbor Steps,Unique Features,Controlled Access
323,Harbor Steps,Unique Features,Courtesy Patrol
324,Harbor Steps,Unique Features,Fitness Programs
325,Harbor Steps,Unique Features,Granite Countertops
326,Harbor Steps,Unique Features,Hardwood Floors
327,Harbor Steps,Unique Features,High Speed Internet Access
328,Harbor Steps,Unique Features,Library (Rooms)
329,Harbor Steps,Unique Features,Self Guided Tours
330,Harbor Steps,Unique Features,Smoke Free Living
331,Harbor Steps,Unique Features,Virtual Tours Available
332,Harbor Steps,Pet Policy,$50 Monthly Pet Rent
333,Harbor Steps,Pet Policy,3 Pet Limit
334,Harbor Steps,Property Information,Built in 1998
335,Harbor Steps,Property Information,761 Units/15 Stories
336,Harbor Steps,Lease Length,Flexible terms
337,Harbor Steps,Services,Laundry Facilities
338,Harbor Steps,Services,Maintenance on site
339,Harbor Steps,Services,24 Hour Availability
340,Harbor Steps,Interior,Elevator
341,Harbor Steps,Interior,Business Center
342,Harbor Steps,Interior,Clubhouse
343,Harbor Steps,Interior,Lounge
344,Harbor Steps,Interior,Storage Space
345,Harbor Steps,Outdoor Space,Gated
346,Harbor Steps,Outdoor Space,Sundeck
347,Harbor Steps,Outdoor Space,Balcony
348,Harbor Steps,Outdoor Space,Patio
349,Harbor Steps,Fitness & Recreation,Fitness Center
350,Harbor Steps,Fitness & Recreation,Sauna
351,Harbor Steps,Fitness & Recreation,Spa
352,Harbor Steps,Fitness & Recreation,Pool
353,Harbor Steps,Fitness & Recreation,Basketball Court
354,Harbor Steps,Features,High Speed Internet Access
355,Harbor Steps,Features,Washer/Dryer - In Unit
356,Harbor Steps,Features,Air Conditioning
357,Harbor Steps,Features,Cable Ready
358,Harbor Steps,Features,Storage Units
359,Harbor Steps,Features,Fireplace
360,Harbor Steps,Kitchen,Dishwasher
361,Harbor Steps,Kitchen,Disposal
362,Harbor Steps,Kitchen,Microwave
363,Harbor Steps,Kitchen,Refrigerator
364,Harbor Steps,Living Space,Views
365,Harbor Steps,Living Space,Walk-In Closets
366,Harbor Steps,Living Space,Window Coverings
367,Harbor Steps,Security,Property Manager on Site
368,Harbor Steps,Security,Concierge
369,Ballard 57 Apartments,Unique Features,2 element cook top
370,Ballard 57 Apartments,Unique Features,Convection oven
371,Ballard 57 Apartments,Unique Features,Fully Furnished Units Available
372,Ballard 57 Apartments,Unique Features,large windows
373,Ballard 57 Apartments,Unique Features,murphy beds
374,Ballard 57 Apartments,Unique Features,patios
375,Ballard 57 Apartments,Unique Features,quartz countertops
376,Ballard 57 Apartments,Unique Features,stainless steel appliances
377,Ballard 57 Apartments,Pet Policy,$250 Deposit
378,Ballard 57 Apartments,Pet Policy,$25 Monthly Pet Rent
379,Ballard 57 Apartments,Pet Policy,2 Pet Limit
380,Ballard 57 Apartments,Property Information,Built in 2017
381,Ballard 57 Apartments,Property Information,48 Units/6 Stories
382,Ballard 57 Apartments,Property Information,Furnished
383,Ballard 57 Apartments,Lease Length,12 months
384,Ballard 57 Apartments,Services,24 Hour Availability
385,Ballard 57 Apartments,Services,Furnished Units Available
386,Ballard 57 Apartments,Services,Renters Insurance Program
387,Ballard 57 Apartments,Services,Online Services
388,Ballard 57 Apartments,Interior,Elevator
389,Ballard 57 Apartments,Interior,Lounge
390,Ballard 57 Apartments,Interior,Corporate Suites
391,Ballard 57 Apartments,Outdoor Space,Roof Terrace
392,Ballard 57 Apartments,Outdoor Space,Balcony
393,Ballard 57 Apartments,Outdoor Space,Patio
394,Ballard 57 Apartments,Outdoor Space,Grill
395,Ballard 57 Apartments,Fitness & Recreation,Bike Storage
396,Ballard 57 Apartments,Features,Heating
397,Ballard 57 Apartments,Features,Smoke Free
398,Ballard 57 Apartments,Features,Cable Ready
399,Ballard 57 Apartments,Features,Storage Units
400,Ballard 57 Apartments,Features,Tub/Shower
401,Ballard 57 Apartments,Features,Wheelchair Accessible (Rooms)
402,Ballard 57 Apartments,Kitchen,Dishwasher
403,Ballard 57 Apartments,Kitchen,Disposal
404,Ballard 57 Apartments,Kitchen,Granite Countertops
405,Ballard 57 Apartments,Kitchen,Stainless Steel Appliances
406,Ballard 57 Apartments,Kitchen,Kitchen
407,Ballard 57 Apartments,Kitchen,Microwave
408,Ballard 57 Apartments,Kitchen,Range
409,Ballard 57 Apartments,Kitchen,Refrigerator
410,Ballard 57 Apartments,Kitchen,Freezer
411,Ballard 57 Apartments,Kitchen,Coffee System
412,Ballard 57 Apartments,Living Space,Hardwood Floors
413,Ballard 57 Apartments,Living Space,Vinyl Flooring
414,Ballard 57 Apartments,Living Space,Built-In Bookshelves
415,Ballard 57 Apartments,Living Space,Views
416,Ballard 57 Apartments,Living Space,Linen Closet
417,Ballard 57 Apartments,Living Space,Furnished
418,Ballard 57 Apartments,Living Space,Double Pane Windows
419,Ballard 57 Apartments,Living Space,Window Coverings
420,Ballard 57 Apartments,Security,Package Service
421,Ballard 57 Apartments,Security,Controlled Access
422,Fox & Finch Apartments,Unique Features,24 Hour Emergency Maintenance
423,Fox & Finch Apartments,Unique Features,Control Access Building
424,Fox & Finch Apartments,Unique Features,Floor-to-Ceiling Windows
425,Fox & Finch Apartments,Unique Features,Full Size Washer & Dryer
426,Fox & Finch Apartments,Unique Features,Hardwood Style Flooring
427,Fox & Finch Apartments,Unique Features,large windows
428,Fox & Finch Apartments,Unique Features,Modern Cabinetry
429,Fox & Finch Apartments,Unique Features,Pet Play Area
430,Fox & Finch Apartments,Unique Features,Quartz Counter Tops
431,Fox & Finch Apartments,Unique Features,Rooftop Deck With BBQ Grill
432,Fox & Finch Apartments,Unique Features,Some Fully Furnished Units
433,Fox & Finch Apartments,Unique Features,stainless steel appliances
434,Fox & Finch Apartments,Unique Features,Tile Backsplash
435,Fox & Finch Apartments,Unique Features,Washer/Dryer
436,Fox & Finch Apartments,Unique Features,wood flooring
437,Fox & Finch Apartments,Pet Policy,$250 Deposit
438,Fox & Finch Apartments,Pet Policy,$35 Monthly Pet Rent
439,Fox & Finch Apartments,Pet Policy,2 Pet Limit
440,Fox & Finch Apartments,Property Information,Built in 2017
441,Fox & Finch Apartments,Property Information,49 Units/7 Stories
442,Fox & Finch Apartments,Property Information,Furnished
443,Fox & Finch Apartments,Lease Length,12 months
444,Fox & Finch Apartments,Services,Furnished Units Available
445,Fox & Finch Apartments,Services,Recycling
446,Fox & Finch Apartments,Services,Renters Insurance Program
447,Fox & Finch Apartments,Services,Online Services
448,Fox & Finch Apartments,Services,Pet Washing Station
449,Fox & Finch Apartments,Interior,Elevator
450,Fox & Finch Apartments,Interior,Lounge
451,Fox & Finch Apartments,Interior,Storage Space
452,Fox & Finch Apartments,Outdoor Space,Roof Terrace
453,Fox & Finch Apartments,Outdoor Space,Grill
454,Fox & Finch Apartments,Outdoor Space,Grill
455,Fox & Finch Apartments,Fitness & Recreation,Fitness Center
456,Fox & Finch Apartments,Fitness & Recreation,Bike Storage
457,Fox & Finch Apartments,Features,High Speed Internet Access
458,Fox & Finch Apartments,Features,Washer/Dryer - In Unit
459,Fox & Finch Apartments,Features,Heating
460,Fox & Finch Apartments,Features,Smoke Free
461,Fox & Finch Apartments,Features,Cable Ready
462,Fox & Finch Apartments,Features,Storage Units
463,Fox & Finch Apartments,Features,Tub/Shower
464,Fox & Finch Apartments,Features,Wheelchair Accessible (Rooms)
465,Fox & Finch Apartments,Kitchen,Dishwasher
466,Fox & Finch Apartments,Kitchen,Disposal
467,Fox & Finch Apartments,Kitchen,Granite Countertops
468,Fox & Finch Apartments,Kitchen,Stainless Steel Appliances
469,Fox & Finch Apartments,Kitchen,Kitchen
470,Fox & Finch Apartments,Kitchen,Microwave
471,Fox & Finch Apartments,Kitchen,Oven
472,Fox & Finch Apartments,Kitchen,Range
473,Fox & Finch Apartments,Kitchen,Refrigerator
474,Fox & Finch Apartments,Kitchen,Freezer
475,Fox & Finch Apartments,Living Space,Carpet
476,Fox & Finch Apartments,Living Space,Tile Floors
477,Fox & Finch Apartments,Living Space,Vinyl Flooring
478,Fox & Finch Apartments,Living Space,Views
479,Fox & Finch Apartments,Living Space,Walk-In Closets
480,Fox & Finch Apartments,Living Space,Furnished
481,Fox & Finch Apartments,Living Space,Double Pane Windows
482,Fox & Finch Apartments,Living Space,Window Coverings
483,Fox & Finch Apartments,Security,Controlled Access
484,Fox & Finch Apartments,Security,Property Manager on Site
485,Tellus on Dexter Apartments,Unique Features,large windows
486,Tellus on Dexter Apartments,Unique Features,quartz countertops
487,Tellus on Dexter Apartments,Unique Features,stainless steel appliances
488,Tellus on Dexter Apartments,Unique Features,walk-in closets
489,Tellus on Dexter Apartments,Unique Features,Washer/Dryer
490,Tellus on Dexter Apartments,Unique Features,wood flooring
491,Tellus on Dexter Apartments,Pet Policy,$250 Deposit
492,Tellus on Dexter Apartments,Pet Policy,$25 Monthly Pet Rent
493,Tellus on Dexter Apartments,Pet Policy,2 Pet Limit
494,Tellus on Dexter Apartments,Property Information,Built in 2019
495,Tellus on Dexter Apartments,Property Information,98 Units/8 Stories
496,Tellus on Dexter Apartments,Property Information,Furnished
497,Tellus on Dexter Apartments,Lease Length,"6 months, 7 months, 8 months, 9 months, 10 months, 11 months, 12 months, 13 months, 14 months"
498,Tellus on Dexter Apartments,Services,Community-Wide WiFi
499,Tellus on Dexter Apartments,Services,Maintenance on site
500,Tellus on Dexter Apartments,Services,24 Hour Availability
501,Tellus on Dexter Apartments,Services,Furnished Units Available
502,Tellus on Dexter Apartments,Services,On-Site Retail
503,Tellus on Dexter Apartments,Services,Trash Pickup - Door to Door
504,Tellus on Dexter Apartments,Services,Recycling
505,Tellus on Dexter Apartments,Services,Composting
506,Tellus on Dexter Apartments,Services,Car Charging Station
507,Tellus on Dexter Apartments,Interior,Elevator
508,Tellus on Dexter Apartments,Interior,Disposal Chutes
509,Tellus on Dexter Apartments,Outdoor Space,Roof Terrace
510,Tellus on Dexter Apartments,Outdoor Space,Courtyard
511,Tellus on Dexter Apartments,Outdoor Space,Grill
512,Tellus on Dexter Apartments,Fitness & Recreation,Fitness Center
513,Tellus on Dexter Apartments,Fitness & Recreation,Bike Storage
514,Tellus on Dexter Apartments,Features,High Speed Internet Access
515,Tellus on Dexter Apartments,Features,Wi-Fi
516,Tellus on Dexter Apartments,Features,Washer/Dryer - In Unit
517,Tellus on Dexter Apartments,Features,Air Conditioning
518,Tellus on Dexter Apartments,Features,Heating
519,Tellus on Dexter Apartments,Features,Smoke Free
520,Tellus on Dexter Apartments,Features,Cable Ready
521,Tellus on Dexter Apartments,Features,Trash Compactor
522,Tellus on Dexter Apartments,Features,Tub/Shower
523,Tellus on Dexter Apartments,Features,Intercom
524,Tellus on Dexter Apartments,Features,Framed Mirrors
525,Tellus on Dexter Apartments,Features,Wheelchair Accessible (Rooms)
526,Tellus on Dexter Apartments,Kitchen,Dishwasher
527,Tellus on Dexter Apartments,Kitchen,Disposal
528,Tellus on Dexter Apartments,Kitchen,Stainless Steel Appliances
529,Tellus on Dexter Apartments,Kitchen,Kitchen
530,Tellus on Dexter Apartments,Kitchen,Microwave
531,Tellus on Dexter Apartments,Kitchen,Oven
532,Tellus on Dexter Apartments,Kitchen,Range
533,Tellus on Dexter Apartments,Kitchen,Refrigerator
534,Tellus on Dexter Apartments,Kitchen,Freezer
535,Tellus on Dexter Apartments,Living Space,Views
536,Tellus on Dexter Apartments,Living Space,Walk-In Closets
537,Tellus on Dexter Apartments,Living Space,Window Coverings
538,Tellus on Dexter Apartments,Security,Package Service
539,Tellus on Dexter Apartments,Security,Controlled Access
540,Tellus on Dexter Apartments,Security,Property Manager on Site
541,Lane,Unique Features,A/C Ports In Every Unit
542,Lane,Unique Features,Bike Room With Bike Wash
543,Lane,Unique Features,Controlled Access
544,Lane,Unique Features,Courtesy Patrol
545,Lane,Unique Features,High Speed Internet Access
546,Lane,Unique Features,Open Shelving In Kitchen
547,Lane,Unique Features,"Parcel Pending, Package Storage"
548,Lane,Unique Features,Resident Garage Parking
549,Lane,Unique Features,Smoke Free Living
550,Lane,Unique Features,Speakeasy Located On Level 7
551,Lane,Unique Features,USB Wall Plug-Ins
552,Lane,Unique Features,Virtual Tours Available
553,Lane,Unique Features,Wag Club (Pet Wash Room)
