neighborhood,Unnamed: 0_x,zipCode,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,bedRoomNumber,baths,rent,sqft,availability,deposit,leaseLength
Alki,551.6,98116.0,0.0,0.0,48.0,35.4,9767.8,1.6,1.0,2378.0,989.4,0.4,1316.6666666666667,12.0
Arbor Heights,572.6666666666666,98146.0,0.0,0.0,24.0,39.666666666666664,9742.666666666666,2.0,1.3333333333333333,2116.3333333333335,1136.6666666666667,0.6666666666666666,1647.5,6.0
Atlantic,192.36235294117648,98143.92941176471,0.011764705882352941,0.31058823529411766,89.84470588235294,70.57411764705883,4746.825882352941,1.3105882352941176,1.3235294117647058,2513.7320099255585,790.0212264150944,0.84,1714.0,9.8
Ballard,176.71836734693878,98106.84897959184,1.0510204081632653,3.414285714285714,95.2591836734694,54.61224489795919,4816.989795918367,1.2081632653061225,1.1775510204081632,2192.112804878049,718.523517382413,0.2897959183673469,1950.0,12.0
Beacon Hill,503.0,98108.0,2.0,0.0,57.6,54.4,9297.4,2.0,1.6,2197.0,1109.0,0.6,1097.5,12.0
Belltown,190.4823766364552,98121.0,0.9315206445115811,5.38872104733132,97.93554884189325,99.28197381671701,5152.841893252769,1.216515609264854,1.1545820745216515,2348.1069836552747,719.239837398374,0.38872104733131924,1415.0,10.0
Bitter Lake,303.3058823529412,98133.0,2.0352941176470587,0.6588235294117647,74.18823529411765,52.247058823529414,7713.129411764706,1.4470588235294117,1.223529411764706,1542.8354430379748,751.9058823529411,0.5176470588235295,1107.142857142857,
Briarcliff,723.0,98199.0,0.0,0.0,72.0,36.0,10503.0,5.0,3.5,5395.0,2950.0,1.0,,
Brighton,247.4129213483146,98118.0,4.044943820224719,4.314606741573034,84.42977528089888,65.95224719101124,5182.634831460674,1.1853932584269662,1.1853932584269662,1776.4642857142858,730.6011235955057,0.29213483146067415,750.0,12.0
Broadview,329.0,98133.0,2.5714285714285716,0.8571428571428571,62.642857142857146,50.0,8262.42857142857,1.7142857142857142,1.7142857142857142,1930.8,859.9642857142857,0.2857142857142857,1595.0,
Bryant,540.4,98107.0,0.0,0.0,78.8,60.6,9657.8,1.6,1.2,2056.0,976.0,0.6,2496.6666666666665,12.0
Bryn Mawr-Skyway,333.8,98178.0,2.5,2.2,31.4,6.1,7913.1,1.95,1.425,1779.85,1034.1,0.55,,
Capitol Hill,199.6472184531886,98119.43554952511,2.1519674355495253,1.4002713704206242,99.24016282225237,93.36092265943012,5500.335142469471,1.1831750339213025,1.1886024423337855,2288.593673965937,701.842776203966,0.2835820895522388,1752.5,11.333333333333334
Central Seattle,237.0,98144.0,5.0,0.0,93.0,78.0,6830.0,1.263157894736842,1.263157894736842,2345.7894736842104,777.421052631579,0.10526315789473684,,
Chinatown,218.03658536585365,98104.0,0.14634146341463414,3.3658536585365852,98.02439024390245,100.0,6285.414634146341,1.1951219512195121,1.0731707317073171,1309.0392156862745,516.1975308641976,0.4878048780487805,400.0,12.0
Columbia City,140.8190476190476,98117.50476190477,1.0476190476190477,1.5142857142857142,91.81904761904762,62.96190476190476,4269.685714285714,1.3714285714285714,1.2714285714285714,1856.0862068965516,772.1213592233009,0.2857142857142857,938.0,12.0
Crown Hill,324.75,98117.0,3.875,0.0,78.9375,55.125,7687.125,1.5625,1.375,2003.75,853.5666666666667,0.3125,1700.0,
Denny Triangle,221.97907949790795,98109.30543933055,0.42887029288702927,11.098326359832637,99.28242677824268,99.99581589958159,5034.366108786611,1.4048117154811715,1.3927824267782427,3757.0487444608566,983.8321129707113,0.4476987447698745,3478.0,12.0
Downtown Seattle,38.765306122448976,98101.11224489796,0.027210884353741496,3.6020408163265305,98.33333333333333,100.0,1391.687074829932,1.2585034013605443,1.227891156462585,2623.4146341463415,850.5595238095239,0.24489795918367346,,
Dunlap,366.14285714285717,98118.0,1.8571428571428572,0.0,77.35714285714286,48.714285714285715,8630.785714285714,2.0,1.1428571428571428,1429.142857142857,921.4285714285714,0.07142857142857142,3000.0,12.0
