neighborhood,amenitytype,amenitytype
Seatac,Interior,0.011235955056179775
Seatac,Lease Length,0.011235955056179775
Seattle,Unique Features,0.2687840332795812
Seattle,Kitchen,0.1262240295403024
Seattle,Features,0.12176026548879385
Seattle,Living Space,0.12105915071630559
Seattle,Services,0.1027600551543621
Seattle,Outdoor Space,0.0724017855056206
Seattle,Interior,0.060786650774731825
Seattle,Security,0.038935240365514504
Seattle,Fitness & Recreation,0.032274650026876066
Seattle,Pet Policy,0.025707541657902733
Seattle,Property Information,0.0196078431372549
Seattle,Lease Length,0.009441678936175184
Seattle,Student Features,0.0002570754165790273
Seaview Seattle,Unique Features,1.0
Seward Park,Lease Length,0.3333333333333333
Seward Park,Services,0.3333333333333333
Seward Park,Features,0.16666666666666666
Seward Park,Living Space,0.16666666666666666
Sheridan Beach,Unique Features,0.3924731182795699
Sheridan Beach,Kitchen,0.11559139784946236
Sheridan Beach,Features,0.10080645161290322
Sheridan Beach,Pet Policy,0.0739247311827957
Sheridan Beach,Living Space,0.07123655913978495
Sheridan Beach,Outdoor Space,0.05913978494623656
Sheridan Beach,Services,0.056451612903225805
Sheridan Beach,Property Information,0.05241935483870968
Sheridan Beach,Fitness & Recreation,0.03225806451612903
Sheridan Beach,Interior,0.01747311827956989
Sheridan Beach,Lease Length,0.01747311827956989
Sheridan Beach,Security,0.010752688172043012
Shoreline,Kitchen,0.15384615384615385
Shoreline,Unique Features,0.15384615384615385
Shoreline,Outdoor Space,0.1346153846153846
Shoreline,Interior,0.09615384615384616
Shoreline,Living Space,0.09615384615384616
Shoreline,Pet Policy,0.09615384615384616
Shoreline,Features,0.07692307692307693
Shoreline,Property Information,0.057692307692307696
Shoreline,Services,0.057692307692307696
Shoreline,Security,0.038461538461538464
Shoreline,Fitness & Recreation,0.019230769230769232
Shoreline,Lease Length,0.019230769230769232
South Delridge,Unique Features,0.39934968962459355
South Delridge,Services,0.09725096068578185
South Delridge,Features,0.09399940880874963
South Delridge,Kitchen,0.08187998817617499
South Delridge,Fitness & Recreation,0.06857818504286137
South Delridge,Outdoor Space,0.06857818504286137
South Delridge,Living Space,0.0594147206621342
South Delridge,Interior,0.05113804315696128
South Delridge,Property Information,0.026603606266627253
South Delridge,Pet Policy,0.020987289388117055
South Delridge,Security,0.018918120011823827
South Delridge,Lease Length,0.013301803133313627
South Lake Union,Unique Features,0.3074736047148717
South Lake Union,Outdoor Space,0.10501843597755105
South Lake Union,Features,0.10281204187706387
South Lake Union,Kitchen,0.10093882809376435
South Lake Union,Living Space,0.0786675748915313
South Lake Union,Services,0.07374391020420251
South Lake Union,Interior,0.06545882631680265
South Lake Union,Pet Policy,0.04474981860182731
South Lake Union,Property Information,0.03716071137699723
South Lake Union,Fitness & Recreation,0.03548740578401031
South Lake Union,Security,0.03194829041477248
South Lake Union,Lease Length,0.01647391568316773
South Lake Union,Student Features,6.66360634375324e-05
South Park,Kitchen,0.3333333333333333
South Park,Lease Length,0.3333333333333333
South Park,Services,0.3333333333333333
Southern Heights-Boulevard Park,Features,0.20755005349228184
Southern Heights-Boulevard Park,Kitchen,0.15894849457435428
Southern Heights-Boulevard Park,Fitness & Recreation,0.12119822711294513
Southern Heights-Boulevard Park,Living Space,0.10851291456518417
Southern Heights-Boulevard Park,Interior,0.09460492128992817
Southern Heights-Boulevard Park,Outdoor Space,0.08314228946966223
Southern Heights-Boulevard Park,Services,0.08008558765092465
Southern Heights-Boulevard Park,Security,0.07259666819501757
Southern Heights-Boulevard Park,Property Information,0.05104692037291762
Southern Heights-Boulevard Park,Pet Policy,0.010851291456518416
Southern Heights-Boulevard Park,Unique Features,0.009170105456212746
Southern Heights-Boulevard Park,Lease Length,0.0022925263640531865
Stevens,Unique Features,0.2128287707997853
Stevens,Features,0.1274825550187869
Stevens,Services,0.1261406333870102
Stevens,Kitchen,0.11969940955448202
Stevens,Outdoor Space,0.09608158883521202
Stevens,Living Space,0.09527643585614601
Stevens,Property Information,0.057971014492753624
Stevens,Pet Policy,0.05448201825013419
Stevens,Security,0.03784219001610306
Stevens,Interior,0.03515834675254965
Stevens,Lease Length,0.023349436392914653
Stevens,Fitness & Recreation,0.013687600644122383
Tukwila Urban Center,Unique Features,0.21926729986431479
Tukwila Urban Center,Services,0.19620081411126186
Tukwila Urban Center,Kitchen,0.110719131614654
Tukwila Urban Center,Outdoor Space,0.08738127544097693
Tukwila Urban Center,Living Space,0.07788331071913161
Tukwila Urban Center,Features,0.06621438263229308
Tukwila Urban Center,Pet Policy,0.05508819538670285
Tukwila Urban Center,Interior,0.054816824966078696
Tukwila Urban Center,Fitness & Recreation,0.04423337856173677
Tukwila Urban Center,Security,0.04396200814111262
Tukwila Urban Center,Property Information,0.03310719131614654
Tukwila Urban Center,Lease Length,0.011126187245590231
University District,Unique Features,0.2831916285153695
University District,Features,0.11031175059952038
University District,Services,0.10540658382385001
University District,Kitchen,0.10159145410943972
University District,Living Space,0.08916503161107478
University District,Outdoor Space,0.055482886418138214
University District,Security,0.051013734466971876
University District,Interior,0.048561151079136694
University District,Property Information,0.04643557880967953
University District,Pet Policy,0.036952256376716806
University District,Fitness & Recreation,0.036897754523653806
University District,Student Features,0.017713102245476346
University District,Lease Length,0.017277087420972313
Wallingford,Unique Features,0.16757741347905283
Wallingford,Features,0.14265171124532644
Wallingford,Living Space,0.12597066436583262
Wallingford,Kitchen,0.12386156648451731
Wallingford,Services,0.11619211964337073
Wallingford,Outdoor Space,0.10555076215127984
Wallingford,Interior,0.057712587479628034
Wallingford,Fitness & Recreation,0.04179848528424887
Wallingford,Pet Policy,0.04179848528424887
Wallingford,Property Information,0.0365257405809606
Wallingford,Security,0.026843063944013038
Wallingford,Lease Length,0.012366983031348864
Wallingford,Student Features,0.0011504170261719873
Wedgewood,Unique Features,0.41234959165549306
Wedgewood,Features,0.11341355111707037
Wedgewood,Living Space,0.09277865812248594
Wedgewood,Services,0.09277865812248594
Wedgewood,Kitchen,0.08250474515471816
Wedgewood,Outdoor Space,0.07216117853971128
Wedgewood,Interior,0.041234959165549305
Wedgewood,Property Information,0.03092621937416198
Wedgewood,Security,0.03092621937416198
Wedgewood,Fitness & Recreation,0.010308739791387326
Wedgewood,Lease Length,0.010308739791387326
Wedgewood,Pet Policy,0.010308739791387326
West Seattle,Unique Features,0.22864217911679735
West Seattle,Living Space,0.141972761040033
West Seattle,Features,0.140321914981428
West Seattle,Kitchen,0.11390837804374743
West Seattle,Outdoor Space,0.10441601320676847
West Seattle,Services,0.10235245563351217
West Seattle,Security,0.0470491126702435
West Seattle,Property Information,0.037969459347915804
West Seattle,Interior,0.03425505571605448
West Seattle,Pet Policy,0.025175402393726783
West Seattle,Lease Length,0.015270326042096575
West Seattle,Fitness & Recreation,0.008666941807676434
West Woodland,Features,0.21149425287356322
West Woodland,Property Information,0.14942528735632185
West Woodland,Kitchen,0.10114942528735632
West Woodland,Pet Policy,0.09655172413793103
West Woodland,Security,0.09655172413793103
West Woodland,Services,0.09655172413793103
West Woodland,Living Space,0.052873563218390804
West Woodland,Fitness & Recreation,0.04827586206896552
West Woodland,Interior,0.04827586206896552
West Woodland,Lease Length,0.04827586206896552
West Woodland,Outdoor Space,0.04827586206896552
West Woodland,Unique Features,0.0022988505747126436
Westlake,Unique Features,0.43294899761088607
Westlake,Features,0.10491326477615041
Westlake,Living Space,0.061909213669886776
Westlake,Services,0.06149371559156539
Westlake,Kitchen,0.05463799729926249
Westlake,Interior,0.05411862470136076
Westlake,Property Information,0.047990028046120285
Westlake,Outdoor Space,0.04341954918458502
Westlake,Security,0.04279630206710294
Westlake,Pet Policy,0.036356081853121426
Westlake,Fitness & Recreation,0.034694089539835875
Westlake,Lease Length,0.019112911602783837
Westlake,Student Features,0.005609224057338735
White Center,Unique Features,0.24390243902439024
White Center,Features,0.17073170731707318
White Center,Kitchen,0.0975609756097561
White Center,Living Space,0.0975609756097561
White Center,Pet Policy,0.0975609756097561
White Center,Outdoor Space,0.07317073170731707
White Center,Fitness & Recreation,0.04878048780487805
White Center,Property Information,0.04878048780487805
White Center,Security,0.04878048780487805
White Center,Services,0.04878048780487805
White Center,Interior,0.024390243902439025
Whittier Heights,Unique Features,0.2356020942408377
Whittier Heights,Kitchen,0.1682872101720269
Whittier Heights,Features,0.14285714285714285
Whittier Heights,Living Space,0.10172026925953627
Whittier Heights,Outdoor Space,0.07853403141361257
Whittier Heights,Services,0.07329842931937172
Whittier Heights,Security,0.06806282722513089
Whittier Heights,Pet Policy,0.04712041884816754
Whittier Heights,Interior,0.03664921465968586
Whittier Heights,Property Information,0.031413612565445025
Whittier Heights,Lease Length,0.016454749439042633
