,propertyName,room,costRange
538,Holgate 12 Apartments,2 Bedrooms ,2600
539,Executive Estates,Studio ,1195
540,Executive Estates,1 Bedroom ,1255
541,Executive Estates,2 Bedrooms ,1555
542,Nine & Pine,1 Bedroom ,2025
543,Nine & Pine,2 Bedrooms ,3385
544,M Street,Studio ,1560
545,M Street,1 Bedroom ,1860
546,M Street,2 Bedrooms ,2680
547,Maple Leaf Plaza,1 Bedroom ,1395
548,Avalon Micro Studios,Studio ,895
549,Quintessa Apartments,Studio,0
550,Quintessa Apartments,1 Bedroom ,1309
551,Junction 160,1 Bedroom ,1395
552,Junction 160,2 Bedrooms ,1835
553,Sheridan Beach Terrace,1 Bedroom ,1350
554,Sheridan Beach Terrace,2 Bedrooms ,1699
555,Sheridan Beach Terrace,3 Bedrooms ,2400
556,REO Flats,Studio ,970
557,REO Flats,1 Bedroom ,1790
558,REO Flats,2 Bedrooms ,2825
559,Sunset Electric,Studio ,1715
560,Sunset Electric,1 Bedroom ,1920
561,Cambridge Park Villa,1 Bedroom ,1250
562,Cambridge Park Villa,2 Bedrooms ,1500
563,Cambridge Park Villa,3 Bedrooms ,1900
564,Hayes On Stone Way,Studio ,1780
565,Hayes On Stone Way,1 Bedroom ,2250
566,Hayes On Stone Way,2 Bedrooms ,3400
567,Viktoria,Studio ,1765
568,Viktoria,1 Bedroom ,2125
569,Viktoria,2 Bedrooms ,3415
570,Ballard Lofts,Studio ,1999
571,Ballard Lofts,1 Bedroom ,2308
572,Ballard Lofts,2 Bedrooms ,3169
573,Green Lake Village,Studio ,1825
574,Green Lake Village,1 Bedroom ,1628
575,Green Lake Village,2 Bedrooms ,2725
576,Campus View,1 Bedroom ,1535
577,Campus View,3 Bedrooms ,2697
578,Dexter,2 Bedrooms ,3795
579,Oxford Apartments,Studio ,1750
580,Oxford Apartments,1 Bedroom ,2250
581,Zella,1 Bedroom ,1303
582,Zella,2 Bedrooms ,3283
583,Alloy,Studio ,1320
584,Linden Square,1 Bedroom ,1308
585,Linden Square,2 Bedrooms ,1832
586,Linden Square,3 Bedrooms ,2206
587,Soren Apartments,1 Bedroom ,2010
588,Soren Apartments,2 Bedrooms ,2810
589,Charlesgate,Studio ,1195
590,City Views,1 Bedroom ,1395
591,Parla,Studio,0
592,Parla,1 Bedroom ,1605
593,Parla,2 Bedrooms ,2560
594,Avant Apartments,Studio ,1341
595,Avant Apartments,1 Bedroom ,1655
596,Zindorf,Studio ,949
597,Zindorf,1 Bedroom,0
598,Modera South Lake Union,Studio ,1774
599,Modera South Lake Union,1 Bedroom ,1802
600,Modera South Lake Union,2 Bedrooms ,3144
601,Modera South Lake Union,3 Bedrooms ,4267
602,Beacon View,Studio,0
603,Beacon View,1 Bedroom ,1508
604,Beacon View,2 Bedrooms,0
605,700 Broadway Apartments,Studio – 2 Bedrooms,0
606,The Audrey at Belltown,Studio ,1827
607,The Audrey at Belltown,1 Bedroom ,1899
608,The Audrey at Belltown,2 Bedrooms ,2878
609,Metropolitan Park,Studio ,1535
610,Metropolitan Park,1 Bedroom ,1675
611,Metropolitan Park,2 Bedrooms ,2355
612,The Galleria,Studio,0
613,The Galleria,1 Bedroom ,1349
614,The Galleria,2 Bedrooms ,1642
615,The Galleria,3 Bedrooms,0
616,Addison on Fourth,Studio – 1 Bed ,899
617,Addison on Fourth,Studio – 1 Bed ,1099
618,Northline Apartments,1 Bedroom ,1434
619,Northline Apartments,2 Bedrooms ,1851
620,Jack Apartments,Studio ,1207
621,Jack Apartments,1 Bedroom ,1600
622,Jack Apartments,2 Bedrooms ,2049
623,Residences At 3295,1 Bedroom ,1448
624,Residences At 3295,2 Bedrooms ,1950
625,8th + Republican,Studio ,2024
626,8th + Republican,1 Bedroom ,2099
627,8th + Republican,2 Bedrooms ,3107
628,Modera Jackson,1 Bedroom ,1940
629,Modera Jackson,2 Bedrooms ,2690
630,Carolina Court,1 Bedroom ,1648
631,Northgate Apartments,Studio ,1069
632,Northgate Apartments,1 Bedroom ,1179
633,Northgate Apartments,2 Bedrooms,0
634,AVA Queen Anne,Studio ,1900
635,AVA Queen Anne,1 Bedroom ,2370
636,AVA Queen Anne,2 Bedrooms ,3147
637,Delridge Crossing,1 Bedroom ,1376
638,Delridge Crossing,2 Bedrooms ,1939
639,Alley24,Studio ,1959
640,Alley24,1 Bedroom ,2304
641,Alley24,2 Bedrooms ,3364
642,Domaine,Studio,0
643,Domaine,1 Bedroom ,1950
644,Domaine,2 Bedrooms,0
645,Belay Apartments,Studio ,1425
646,Belay Apartments,1 Bedroom ,1395
647,Belay Apartments,2 Bedrooms,0
648,Noba Apartments,1 Bedroom ,1375
649,Collage,Studio,0
650,Collage,1 Bedroom ,1612
651,Viva,Studio ,1700
652,Viva,1 Bedroom ,1990
653,Viva,2 Bedrooms,0
654,Expo,Studio ,1663
655,Expo,1 Bedroom ,1769
656,Expo,2 Bedrooms ,2981
657,The Bernard,Studio ,1892
658,The Bernard,1 Bedroom ,1859
659,Array,Studio ,1375
660,Array,1 Bedroom ,1520
661,Array,2 Bedrooms ,2225
662,AVA Ballard,Studio ,1590
663,AVA Ballard,1 Bedroom ,1937
664,AVA Ballard,2 Bedrooms ,2844
665,Canvas,1 Bedroom ,1499
666,Canvas,2 Bedrooms ,2900
667,Annaliese,1 Bedroom ,2099
668,Wharfside Pointe,Studio,0
669,Wharfside Pointe,1 Bedroom ,1698
670,Wharfside Pointe,2 Bedrooms ,2251
671,Wharfside Pointe,3 Bedrooms,0
672,Velo and Ray,Studio,0
673,Velo and Ray,1 Bedroom ,1889
674,Velo and Ray,2 Bedrooms,0
675,Collins on Pine,Studio,0
676,Collins on Pine,1 Bedroom ,1797
677,Collins on Pine,2 Bedrooms ,2982
678,Fountain Court,Studio ,1669
679,Fountain Court,1 Bedroom ,2059
680,Fountain Court,2 Bedrooms ,3019
681,Janus Apartments,Studio ,1501
