,propertyName,room,costRange
508,4730 California,1 Bedroom ,"1,692 - 3,770"
509,4730 California,2 Bedrooms ,"2,712 - 5,548"
510,Brookstone Apartments,1 Bedroom ,"1,399 - 1,419"
511,Brookstone Apartments,2 Bedrooms ,"1,610 - 1,625"
512,Brookstone Apartments,3 Bedrooms ,"2,035"
513,Verse Seattle,Studio ,"1,750 - 1,795"
514,Verse Seattle,1 Bedroom ,"2,052"
515,Verse Seattle,2 Bedrooms ,"2,500 - 2,570"
516,True North,1 Bedroom ,"1,795 - 4,560"
517,True North,2 Bedrooms ,"3,090 - 4,160"
518,Neptune,Studio ,"1,722 - 2,682"
519,Neptune,1 Bedroom ,"1,905 - 3,600"
520,Neptune,2 Bedrooms ,"3,260 - 4,765"
521,Union SLU,Studio ,"1,829 - 2,133"
522,Union SLU,1 Bedroom ,"2,145 - 2,706"
523,Union SLU,2 Bedrooms ,"2,562 - 3,683"
524,100 on 6th,Studio ,"995 - 1,475"
525,100 on 6th,1 Bedroom ,"1,245 - 1,540"
526,SONATA At Columbia Station,Studio ,"1,499 - 1,590"
527,SONATA At Columbia Station,1 Bedroom ,"1,760 - 2,140"
528,Willow Court Apartments,1 Bedroom ,"1,375 - 1,450"
529,Willow Court Apartments,2 Bedrooms ,"1,600 - 1,750"
530,Andante Seattle,Studio ,"1,380 - 1,390"
531,Andante Seattle,1 Bedroom ,"1,435 - 1,620"
532,Andante Seattle,2 Bedrooms ,"1,890 - 2,045"
533,Avanti,Studio ,"1,543 - 1,700"
534,Cyrene,1 Bedroom ,"1,985 - 3,070"
535,Cyrene,2 Bedrooms ,"2,910 - 4,545"
536,The Redwood Apartments,Studio ,"1,050 - 1,475"
537,Gilbert Apartments,Studio ,"1,975 - 2,095"
538,Gilbert Apartments,1 Bedroom ,"2,050 - 2,195"
539,Gilbert Apartments,2 Bedrooms ,"2,850 - 3,500"
540,Lucille on Roosevelt,Studio ,"1,945"
541,Lucille on Roosevelt,1 Bedroom ,"1,849 - 2,099"
542,Holgate 12 Apartments,2 Bedrooms ,"2,600"
543,Executive Estates,Studio ,"1,195 - 1,215"
544,Executive Estates,1 Bedroom ,"1,255 - 1,275"
545,Executive Estates,2 Bedrooms ,"1,555 - 1,825"
546,Nine & Pine,1 Bedroom ,"2,025 - 2,350"
547,Nine & Pine,2 Bedrooms ,"3,385 - 3,450"
548,M Street,Studio ,"1,560 - 1,845"
549,M Street,1 Bedroom ,"1,860 - 2,460"
550,M Street,2 Bedrooms ,"2,680 - 3,815"
551,Maple Leaf Plaza,1 Bedroom ,"1,395"
552,Avalon Micro Studios,Studio ,895 - 925
553,Quintessa Apartments,C,a
554,Quintessa Apartments,1 Bedroom ,"1,309"
555,Sheridan Beach Terrace,1 Bedroom ,"1,350 - 1,549"
556,Sheridan Beach Terrace,2 Bedrooms ,"1,699 - 1,799"
557,Sheridan Beach Terrace,3 Bedrooms ,"2,400"
558,Junction 160,1 Bedroom ,"1,395 - 1,500"
559,Junction 160,2 Bedrooms ,"1,835"
560,Sunset Electric,Studio ,"1,740"
561,Sunset Electric,1 Bedroom ,"1,945 - 4,080"
562,REO Flats,Studio ,905
563,REO Flats,1 Bedroom ,"1,790 - 1,895"
564,REO Flats,2 Bedrooms ,"2,850"
565,Cambridge Park Villa,1 Bedroom ,"1,250 - 1,450"
566,Cambridge Park Villa,2 Bedrooms ,"1,500 - 1,800"
567,Cambridge Park Villa,3 Bedrooms ,"1,900 - 2,000"
568,Hayes On Stone Way,Studio ,"1,780 - 2,475"
569,Hayes On Stone Way,1 Bedroom ,"2,250 - 3,130"
570,Hayes On Stone Way,2 Bedrooms ,"3,400 - 4,640"
571,Green Lake Village,Studio ,"1,825 - 2,025"
572,Green Lake Village,1 Bedroom ,"1,628 - 2,185"
573,Green Lake Village,2 Bedrooms ,"2,725 - 3,115"
574,Viktoria,Studio ,"1,765 - 3,250"
575,Viktoria,1 Bedroom ,"2,125 - 4,835"
576,Viktoria,2 Bedrooms ,"3,415 - 5,505"
577,Ballard Lofts,Studio ,"1,999 - 9,968"
578,Ballard Lofts,1 Bedroom ,"2,308 - 4,667"
579,Ballard Lofts,2 Bedrooms ,"3,169 - 10,000"
580,Campus View,1 Bedroom ,"1,535"
581,Campus View,3 Bedrooms ,"2,697 - 2,799"
582,Dexter,2 Bedrooms ,"3,795"
583,Oxford Apartments,Studio ,"1,750 - 1,800"
584,Oxford Apartments,1 Bedroom ,"2,250 - 2,400"
585,Zella,1 Bedroom ,"1,303 - 2,680"
586,Zella,2 Bedrooms ,"3,283"
587,Alloy,Studio ,"1,320 - 1,750"
588,Modera Jackson,1 Bedroom ,"1,825 - 2,295"
589,Modera Jackson,2 Bedrooms ,"2,690 - 3,220"
590,Array,Studio ,"1,375"
591,Array,1 Bedroom ,"1,530 - 1,925"
592,Array,2 Bedrooms ,"2,280"
593,Boxcar,Studio ,"1,657"
594,Boxcar,1 Bedroom ,"1,761"
595,Modera South Lake Union,Studio ,"1,774 - 2,859"
596,Modera South Lake Union,1 Bedroom ,"1,926 - 3,303"
597,Modera South Lake Union,2 Bedrooms ,"3,170 - 3,988"
598,Modera South Lake Union,3 Bedrooms ,"4,267 - 9,357"
599,Metropolitan Park,Studio ,"1,535"
600,Metropolitan Park,1 Bedroom ,"1,675 - 1,815"
601,Metropolitan Park,2 Bedrooms ,"2,355"
602,Residences At 3295,1 Bedroom ,"1,448 - 1,495"
603,Residences At 3295,2 Bedrooms ,"1,950 - 2,249"
604,Fifty Two Apartment,Studio ,"1,300 - 1,950"
605,Towers on Greenwood,C,a
606,Towers on Greenwood,1 Bedroom ,"1,499 - 1,799"
607,Towers on Greenwood,2 Bedrooms ,"1,899 - 2,199"
608,Vista 7011,Studio ,"1,295 - 1,395"
609,Vista 7011,1 Bedroom ,"1,581 - 1,988"
610,North Court Apartments,1 Bedroom ,"1,335 - 1,395"
611,North Court Apartments,2 Bedrooms ,"1,695"
612,Monticello,C,a
613,Monticello,1 Bedroom ,"1,307"
614,Monticello,C,a
615,Monticello,C,a
616,Collins on Pine,C,a
617,Collins on Pine,1 Bedroom ,"1,797 - 2,193"
618,Collins on Pine,2 Bedrooms ,"2,982 - 3,172"
619,8th + Republican,Studio ,"2,024 - 2,354"
620,8th + Republican,1 Bedroom ,"2,099 - 2,621"
621,8th + Republican,2 Bedrooms ,"3,107"
622,Expo,Studio ,"1,663 - 1,758"
623,Expo,1 Bedroom ,"1,769 - 2,399"
624,Expo,2 Bedrooms ,"2,900 - 3,396"
625,Velo and Ray,C,a
626,Velo and Ray,1 Bedroom ,"1,889 - 2,144"
627,Velo and Ray,C,a
628,The Bernard,Studio ,"1,892"
629,The Bernard,1 Bedroom ,"1,884"
630,Fountain Court,Studio ,"1,669 - 2,048"
631,Fountain Court,1 Bedroom ,"2,054 - 2,124"
632,Fountain Court,2 Bedrooms ,"3,059"
633,Icon Apartments,1 Bedroom ,"1,599 - 2,199"
634,Icon Apartments,2 Bedrooms ,"2,299 - 2,499"
635,U20 Apartments,Studio ,"999 - 1,355"
636,The Stax,Studio ,"999 - 1,425"
637,Seattle Urban Studios,Studio ,"800 - 1,200"
638,Montisi,Studio ,"999 - 1,275"
639,Sidney,Studio ,"1,695 - 1,950"
640,Sidney,1 Bedroom ,"1,995 - 2,595"
641,The Noble Apartments,Studio ,"1,667 - 4,208"
642,The Noble Apartments,1 Bedroom ,"2,047 - 4,698"
643,The Noble Apartments,C,a
644,AMLI 535,Studio ,"2,188 - 3,204"
645,AMLI 535,1 Bedroom ,"1,719 - 3,747"
646,AMLI 535,2 Bedrooms ,"3,067 - 5,323"
647,Marketside Flats,1 Bedroom ,"1,590 - 1,795"
648,Marketside Flats,2 Bedrooms ,"2,890"
649,Parla,C,a
650,Parla,1 Bedroom ,"1,555"
651,Parla,2 Bedrooms ,"2,560 - 2,580"
652,Beryl Apt Homes,Studio ,"1,536 - 1,586"
653,Beryl Apt Homes,C,a
654,Beryl Apt Homes,2 Bedrooms ,"2,708"
655,Milan Apartments,1 Bedroom ,"1,500 - 1,625"
656,Milan Apartments,2 Bedrooms ,"1,950 - 2,075"
657,Ellis Court,Studio ,"1,199 - 1,550"
658,Ellis Court,C,a
659,Mosaic on Greenwood,C,a
660,Mosaic on Greenwood,2 Bedrooms ,"1,650 - 1,899"
661,Annaliese,1 Bedroom ,"2,099 - 2,589"
662,Linden Square,1 Bedroom ,"1,308 - 1,690"
663,Linden Square,2 Bedrooms ,"1,832 - 2,015"
664,Linden Square,3 Bedrooms ,"2,206 - 2,309"
665,Soren Apartments,1 Bedroom ,"2,010 - 3,555"
666,Soren Apartments,2 Bedrooms ,"2,810 - 4,680"
667,AVA Ballard,Studio ,"1,545 - 1,585"
668,AVA Ballard,1 Bedroom ,"1,947 - 2,448"
669,AVA Ballard,2 Bedrooms ,"2,844 - 2,986"
670,Canvas,1 Bedroom ,"1,499 - 2,528"
671,Canvas,2 Bedrooms ,"2,900"
672,Illumina Lake Union,2 Bedrooms ,"2,472 - 2,475"
673,Belay Apartments,Studio ,"1,425 - 2,270"
674,Belay Apartments,1 Bedroom ,"1,395 - 2,165"
675,Belay Apartments,C,a
676,Noba Apartments,1 Bedroom ,"1,375 - 3,635"
677,Collage,C,a
678,Collage,1 Bedroom ,"1,612 - 1,789"
679,Viva,Studio ,"1,700 - 2,548"
680,Viva,1 Bedroom ,"1,990 - 3,933"
681,Viva,C,a
682,Brentwood Square,2 Bedrooms ,"1,609 - 1,619"
683,Domaine,C,a
684,Domaine,1 Bedroom ,"1,950 - 2,035"
685,Domaine,C,a
686,The Audrey at Belltown,Studio ,"1,827 - 1,862"
687,The Audrey at Belltown,1 Bedroom ,"1,899 - 2,208"
688,The Audrey at Belltown,2 Bedrooms ,"2,878"
689,Northgate Apartments,Studio ,"1,069"
690,Northgate Apartments,1 Bedroom ,"1,179"
691,Northgate Apartments,C,a
692,AVA Queen Anne,Studio ,"1,900"
693,AVA Queen Anne,1 Bedroom ,"2,345 - 2,890"
694,AVA Queen Anne,2 Bedrooms ,"3,157 - 4,175"
695,Delridge Crossing,1 Bedroom ,"1,376 - 1,938"
696,Delridge Crossing,2 Bedrooms ,"1,939 - 2,214"
697,Alley24,Studio ,"1,959 - 2,129"
698,Alley24,1 Bedroom ,"2,304 - 4,049"
699,Alley24,2 Bedrooms ,"3,364 - 4,049"
700,Jack Apartments,Studio ,"1,207 - 2,665"
701,Jack Apartments,1 Bedroom ,"1,600 - 3,970"
702,Jack Apartments,2 Bedrooms ,"2,049 - 4,725"
703,Carolina Court,1 Bedroom ,"1,648 - 2,894"
704,Northline Apartments,1 Bedroom ,"1,434 - 1,494"
705,Northline Apartments,2 Bedrooms ,"1,851 - 1,901"
706,The Galleria,C,a
707,The Galleria,1 Bedroom ,"1,349 - 3,367"
708,The Galleria,2 Bedrooms ,"1,642 - 4,060"
709,The Galleria,C,a
710,Addison on Fourth,Studio - 1 Bed ,"899 - 1,245 / Unit"
711,Addison on Fourth,Studio - 1 Bed ,"1,099 - 1,245 / Person"
712,The Blakely at Echo Lake (Senior 55+*),Studio ,"1,216"
713,The Blakely at Echo Lake (Senior 55+*),1 Bedroom ,"1,306"
714,The Blakely at Echo Lake (Senior 55+*),2 Bedrooms ,"1,559"
715,Zindorf,Studio ,"949 - 1,260"
716,Zindorf,C,a
717,Beacon View,C,a
718,Beacon View,1 Bedroom ,"1,508 - 1,681"
719,Beacon View,C,a
720,700 Broadway Apartments,C,a
721,Janus Apartments,Studio ,"1,501 - 2,315"
722,Wharfside Pointe,C,a
723,Wharfside Pointe,1 Bedroom ,"1,698 - 1,768"
724,Wharfside Pointe,2 Bedrooms ,"2,251"
725,Wharfside Pointe,C,a
726,O2,Studio ,"1,790"
727,O2,1 Bedroom ,"2,110 - 3,560"
728,O2,2 Bedrooms ,"3,745"
729,Avant Apartments,Studio ,"1,341 - 1,386"
730,Avant Apartments,1 Bedroom ,"1,655 - 2,863"
731,Sundodger Apartments,Studio ,"1,650 - 1,870"
732,Sundodger Apartments,C,a
733,Sundodger Apartments,2 Bedrooms ,"2,955 - 3,045"
734,THAI BINH APARTMENTS,C,a
735,Pike Flats,Studio ,"1,262 - 1,513"
736,1404 Boylston,Studio ,"1,205 - 1,955"
737,1404 Boylston,1 Bedroom ,"1,756"
738,Mysa Apartments,Studio ,"1,449 - 1,499"
739,Mysa Apartments,1 Bedroom ,"1,616 - 1,780"
740,Mysa Apartments,2 Bedrooms ,"2,409"
741,Mysa Apartments,3 Bedrooms ,"2,675 - 2,899"
742,Mysa Apartments,C,a
743,Avalon Belltown Towers,Studio ,"1,945 - 2,195"
744,Avalon Belltown Towers,1 Bedroom ,"2,500 - 3,425"
745,Avalon Belltown Towers,2 Bedrooms ,"3,690 - 8,100"
746,Avalon Belltown Towers,3 Bedrooms ,"8,475 - 8,500"
747,Clarendon,1 Bedroom ,"1,800 - 2,245"
748,Clarendon,C,a
749,AVA Capitol Hill,Studio ,"1,752 - 2,012"
750,AVA Capitol Hill,1 Bedroom ,"2,332 - 3,925"
751,AVA Capitol Hill,2 Bedrooms ,"3,688"
752,AVA Belltown,Studio ,"1,800"
753,AVA Belltown,1 Bedroom ,"2,290 - 2,445"
754,AVA Belltown,C,a
755,The Park At Northgate,2 Bedrooms ,"1,819 - 1,843"
756,Citizen,Studio ,"1,508 - 1,666"
757,Citizen,1 Bedroom ,"1,715 - 2,210"
758,Luxe at Meridian,Studio ,"1,331 - 1,341"
759,Luxe at Meridian,1 Bedroom ,"1,461 - 1,466"
760,Luxe at Meridian,2 Bedrooms ,"2,145"
761,Joseph Arnold Lofts,Studio ,"1,130 - 2,197"
762,Joseph Arnold Lofts,1 Bedroom ,"1,513 - 3,802"
763,Joseph Arnold Lofts,2 Bedrooms ,"1,907 - 7,406"
764,REV Fremont,Studio ,"1,495 - 1,525"
765,REV Fremont,1 Bedroom ,"1,875"
766,REV Fremont,C,a
767,The Flats at Interbay,1 Bedroom ,"1,499 - 2,074"
768,Sunset Park,C,a
769,Sunset Park,2 Bedrooms ,"1,601"
770,Westside Flats,1 Bedroom ,"1,895 - 2,070"
771,Westside Flats,2 Bedrooms ,"1,950 - 2,325"
772,Greenlake Terrace Apartments,C,a
773,Greenlake Terrace Apartments,2 Bedrooms ,"1,650 - 2,350"
774,Rooster Apartments,Studio ,"1,931"
775,Rooster Apartments,1 Bedroom ,"1,753 - 2,248"
776,Rooster Apartments,2 Bedrooms ,"3,280"
777,Stratus,1 Bedroom ,"2,775 - 5,035"
778,Stratus,2 Bedrooms ,"3,975 - 5,920"
779,Stratus,C,a
780,Oregon 42,Studio ,"1,345 - 1,880"
781,Oregon 42,1 Bedroom ,"1,870 - 2,675"
782,Oregon 42,2 Bedrooms ,"3,120 - 4,490"
783,Tower 801,Studio ,"1,752 - 5,300"
784,Tower 801,1 Bedroom ,"2,209 - 5,014"
785,Tower 801,2 Bedrooms ,"2,590 - 6,948"
786,Tower 801,3 Bedrooms ,"3,500 - 5,749"
787,Aperture on Fifth,Studio ,"1,805 - 3,541"
788,Aperture on Fifth,1 Bedroom ,"1,830 - 4,410"
789,Aperture on Fifth,2 Bedrooms ,"3,195 - 6,165"
790,Cirrus,Studio ,"2,215 - 3,040"
791,Cirrus,1 Bedroom ,"2,370 - 4,200"
792,Cirrus,2 Bedrooms ,"4,035 - 5,335"
793,Cirrus,C,a
794,The Cornelius Apartments,Studio ,"1,350 - 2,410"
795,The Cornelius Apartments,1 Bedroom ,"1,613 - 2,723"
796,The Cornelius Apartments,2 Bedrooms ,"2,095 - 3,205"
797,Eastlake Flats,Studio ,"832 - 1,408"
798,LaVie at Queen Anne,C,a
799,LaVie at Queen Anne,1 Bedroom ,"2,025 - 2,399"
800,LaVie at Queen Anne,C,a
801,Manhattan,Studio ,"1,228 - 3,726"
802,Manhattan,C,a
803,Manhattan,C,a
804,Walton Lofts,Studio ,"2,237 - 2,561"
805,Walton Lofts,1 Bedroom ,"1,593 - 3,663"
806,Walton Lofts,2 Bedrooms ,"3,771 - 5,296"
807,Axis,Studio ,"1,830 - 3,066"
808,Axis,1 Bedroom ,"2,350 - 4,459"
809,Axis,C,a
810,Axis,C,a
811,TRESSA,Studio ,"1,099 - 1,162"
812,TRESSA,1 Bedroom ,"1,150 - 1,245"
813,TRESSA,2 Bedrooms ,"1,349 - 1,495"
814,Park 3025,1 Bedroom ,"1,680"
815,Park 3025,2 Bedrooms ,"1,790 - 1,950"
816,City Views,1 Bedroom ,"1,395 - 1,795"
817,Charlesgate,Studio ,"1,195 - 1,400"
818,1111 East Olive Apartments,1 Bedroom ,"2,072"
819,Elliott Bayview,Studio ,"1,725 - 1,745"
820,Elliott Bayview,1 Bedroom ,"1,920 - 2,300"
821,Elliott Bayview,2 Bedrooms ,"2,450 - 2,975"
822,Charbonneau Apartments,1 Bedroom ,"1,795 - 2,095"
823,999 Hiawatha Apartments,Studio ,"1,425 - 1,550"
824,999 Hiawatha Apartments,1 Bedroom ,"1,750 - 1,950"
825,Denny 18,2 Bedrooms ,"2,500 - 3,295"
826,Robins Nest,Studio ,"1,325 - 1,595"
827,Robins Nest,1 Bedroom ,"2,262"
828,A.W. Larson Building,Studio ,"1,465 - 1,540"
829,A.W. Larson Building,1 Bedroom ,"1,980"
830,The Marlborough,2 Bedrooms ,"3,895"
831,VIBE Fremont,Studio ,"1,495 - 1,695"
832,VIBE Fremont,1 Bedroom ,"1,675 - 2,050"
833,VIBE Fremont,2 Bedrooms ,"2,295 - 2,545"
834,Gardner House Apartments,2 Bedrooms ,"1,464"
835,Reverie,Studio ,"1,350 - 1,425"
836,NoCo Apartments,Studio ,"1,040 - 1,350"
837,Franklin Station,Studio ,"1,495 - 1,550"
838,Franklin Station,2 Bedrooms ,"2,500 - 2,995"
839,Autumn Ridge Apartments,2 Bedrooms ,"1,495"
840,The Westside,Studio ,"1,890 - 1,950"
841,The Westside,1 Bedroom ,"1,925 - 2,495"
842,Balfour Place Apartments  - AFFORDABLE,Studio ,"1,224"
843,Balfour Place Apartments  - AFFORDABLE,1 Bedroom ,"1,309"
844,Skyline House Apartments,1 Bedroom ,"1,600"
845,Skyline House Apartments,2 Bedrooms ,"2,345 - 2,500"
846,The Savoy at Lake City,1 Bedroom ,"1,599 - 1,950"
847,The Savoy at Lake City,2 Bedrooms ,"2,025 - 2,350"
848,Oslo,Studio ,"1,854 - 2,080"
849,Oslo,1 Bedroom ,"2,031 - 2,650"
850,Harlow Heights,1 Bedroom ,"1,495"
851,Harlow Heights,2 Bedrooms ,"1,950"
852,City Watch Apartments,1 Bedroom ,"1,695 - 1,870"
853,City Watch Apartments,2 Bedrooms ,"2,300 - 2,445"
854,Hidden Creek Village,Studio ,"1,025"
855,Hidden Creek Village,1 Bedroom ,"1,225"
856,Hidden Creek Village,2 Bedrooms ,"1,525"
857,Nolan and Nora,Studio ,"1,540 - 1,765 / Person"
858,Nolan and Nora,2 Beds ,"1,077 - 1,662 / Person"
859,Nolan and Nora,4+ Beds ,"1,225 - 1,307 / Person"
860,Meridian Place Apartments,1 Bedroom ,"1,399 - 1,599"
861,Meridian Place Apartments,2 Bedrooms ,"1,744 - 2,149"
862,Coronado Springs,Studio ,"1,007 - 1,045"
863,Coronado Springs,1 Bedroom ,"1,082 - 1,306"
864,Coronado Springs,2 Bedrooms ,"1,290 - 1,559"
865,Greenwood Place Apartments,2 Bedrooms ,"2,195 - 2,295"
866,Northbrook Place,2 Bedrooms ,"1,695"
867,Vali Hai,Studio ,"1,325"
868,Vali Hai,1 Bedroom ,"1,775"
869,Vali Hai,2 Bedrooms ,"2,400"
870,AJ Apartments,Studio ,"1,600 - 1,700"
871,AJ Apartments,1 Bedroom ,"1,850 - 1,900"
872,AJ Apartments,2 Bedrooms ,"2,850 - 3,100"
873,Sandpiper Apartments,1 Bedroom ,"1,395"
874,Sandpiper Apartments,2 Bedrooms ,"1,595 - 1,695"
875,Sandpiper Apartments,3 Bedrooms ,"1,895"
876,La Vista Apartments,1 Bedroom ,"1,200 - 1,300"
877,La Vista Apartments,2 Bedrooms ,"1,400 - 1,500"
878,Modern Luxe Condos,Studio ,"2,500 - 3,400"
879,Modern Luxe Condos,1 Bedroom ,"3,500 - 4,100"
880,Modern Luxe Condos,2 Bedrooms ,"4,900 - 5,500"
881,Solis,Studio ,"2,145 - 2,245"
882,Solis,1 Bedroom ,"2,255 - 3,350"
883,Solis,2 Bedrooms ,"3,775 - 3,925"
884,Mcguire Court Apartments,1 Bedroom ,"1,225"
885,Muir Apartments,Studio ,"1,695 - 1,795"
886,Linden Flats Apartments,Studio ,"1,168 - 1,173"
887,Linden Flats Apartments,1 Bedroom ,"1,168 - 1,173"
888,Linden Flats Apartments,2 Bedrooms ,"1,394 - 1,404"
889,The Grove,Studio ,"1,546 - 1,700"
890,The Nelson,Studio ,"1,375 - 1,475"
891,The Nelson,1 Bedroom ,"1,500 - 1,750"
892,The Nelson,2 Bedrooms ,"1,780 - 2,200"
893,Lillehammer,Studio ,"1,595"
894,Lillehammer,1 Bedroom ,"1,695 - 1,915"
895,Lillehammer,2 Bedrooms ,"1,884 - 1,905"
896,Lake Washington Apartments,1 Bedroom ,"1,003 - 1,210"
897,Lake Washington Apartments,2 Bedrooms ,"1,195 - 1,445"
898,Lake Washington Apartments,3 Bedrooms ,"1,599"
899,Carkeek Park Place,1 Bedroom ,"1,650"
900,Lake City Court,1 Bedroom ,"1,173"
901,Lake City Court,2 Bedrooms ,"1,412"
902,Lake City Court,3 Bedrooms ,"1,624"
903,Lake City Court,4 Bedrooms ,"1,813"
904,Sanford Hildebrandt Seattle Active Seniors,Studio ,763
905,Sanford Hildebrandt Seattle Active Seniors,1 Bedroom ,904
906,TOD Apartments,Studio ,"1,399 - 1,740"
907,Rainier Vista,C,a
908,Watercrest,1 Bedroom ,"1,505 - 2,435"
909,Watercrest,2 Bedrooms ,"1,920 - 3,495"
910,Watercrest,C,a
911,Arbour Court Apartments,1 Bedroom ,"1,425 - 1,450"
912,Arbour Court Apartments,2 Bedrooms ,"1,725 - 1,850"
913,Arbour Court Apartments,3 Bedrooms ,"2,100 - 2,250"
914,11326 3rd Ave NE Unit 103,2 Bedrooms ,"1,900"
915,LUNA,1 Bedroom ,"1,600 - 2,428"
916,Verve Flats,Studio ,"1,226 - 1,670"
917,Verve Flats,1 Bedroom ,"1,477 - 1,755"
918,Stockbridge,Studio ,"1,395 - 1,565"
919,Ruth Court,C,a
920,Ruth Court,1 Bedroom ,"2,245"
921,Ruth Court,2 Bedrooms ,"2,799"
922,Kulle Urban Living,Studio ,"895 - 1,550"
923,Clearwater Apartments  - Star Apartments,Studio ,"1,465"
924,Clearwater Apartments  - Star Apartments,1 Bedroom ,"1,575 - 1,660"
925,Clearwater Apartments  - Star Apartments,2 Bedrooms ,"2,140 - 2,255"
926,Clearwater Apartments  - Star Apartments,3 Bedrooms ,"3,665 - 3,715"
927,Elan 41,1 Bedroom ,"1,729 - 1,899"
928,Elan 41,2 Bedrooms ,"1,899 - 1,999"
929,Valdok,Studio ,"1,597 - 2,002"
930,Valdok,1 Bedroom ,"1,715 - 2,867"
931,Valdok,2 Bedrooms ,"3,294 - 3,649"
932,Twenty20 Mad,Studio ,"1,765 - 2,170"
933,Twenty20 Mad,1 Bedroom ,"1,829 - 2,689"
934,Twenty20 Mad,2 Bedrooms ,"3,000 - 3,813"
935,Northbridge Apartments,1 Bedroom ,"1,550 - 1,695"
936,Northbridge Apartments,2 Bedrooms ,"1,900 - 2,550"
937,Northbridge Apartments,3 Bedrooms ,"2,400 - 2,800"
938,Rainier View Homes,2 Bedrooms ,"2,600 - 2,700"
939,Rainier View Homes,3 Bedrooms ,"2,600 - 2,900"
940,The Ludlow,Studio ,"1,075 - 1,315"
941,The Ludlow,1 Bedroom ,"1,300 - 1,445"
942,Jackson Apartments,Studio ,"1,790 - 1,920"
943,Jackson Apartments,1 Bedroom ,"2,060 - 3,143"
944,Jackson Apartments,2 Bedrooms ,"3,185 - 3,745"
945,Jackson Apartments,3 Bedrooms ,"3,375 - 3,615"
946,Taylor Creek,1 Bedroom ,"1,445 - 1,723"
947,Taylor Creek,2 Bedrooms ,"1,644 - 2,017"
948,Mad Flats,Studio ,"999 - 1,160"
949,Mad Flats,1 Bedroom ,"1,150"
950,The Edge,Studio ,"1,570 - 1,670"
951,Ori on The Ave,Studio ,"1,372 - 1,670"
952,Puget Vista,2 Bedrooms ,"2,590"
953,Circa Green Lake Apartments,Studio ,"1,577 - 3,330"
954,Circa Green Lake Apartments,1 Bedroom ,"1,865 - 3,954"
955,Circa Green Lake Apartments,2 Bedrooms ,"3,048 - 5,496"
956,The Weatherford,1 Bedroom ,"1,995"
957,Spring Lake Apartments,C,a
958,Spring Lake Apartments,1 Bedroom ,"1,275"
959,Spring Lake Apartments,C,a
960,Huxley,C,a
961,Huxley,1 Bedroom ,"1,765 - 4,465"
962,Huxley,2 Bedrooms ,"2,730 - 4,150"
963,SOUTHSIDE BY VINTAGE,1 Bedroom ,"1,207 - 1,306"
964,SOUTHSIDE BY VINTAGE,C,a
965,SOUTHSIDE BY VINTAGE,3 Bedrooms ,"1,657"
966,The Sedges  - Property,1 Bed ,"1,735 - 1,920 / Person"
967,The Sedges  - Property,1 Bed ,"1,735 - 1,920 / Unit"
968,Rubix,C,a
969,Rubix,1 Bedroom ,"1,890 - 2,250"
970,Rubix,2 Bedrooms ,"2,219 - 3,033"
971,The Central,Studio ,"1,235 - 2,390"
972,The Central,1 Bedroom ,"1,628 - 3,570"
973,The Central,2 Bedrooms ,"2,077 - 4,010"
974,Hill Crest,1 Bedroom ,"1,599 - 3,490"
975,Hill Crest,2 Bedrooms ,"1,699 - 4,604"
976,Union Arms Apartments,Studio ,"1,200 - 1,375"
977,Union Arms Apartments,1 Bedroom ,"1,450 - 1,650"
978,Parkridge Apartments,C,a
979,Common Summit,Studio ,"1,050 - 1,800 / Person"
980,Magnolia and Magnolia Crest,1 Bedroom ,"1,600 - 2,098"
981,Magnolia and Magnolia Crest,2 Bedrooms ,"1,785 - 2,540"
982,Riverview West Apartments,2 Bedrooms ,"1,350 - 1,695"
983,1715 Apartments,Studio ,"850 - 1,175"
984,PARK HILL/GREENTREE APARTMENTS,Studio ,"1,124"
985,PARK HILL/GREENTREE APARTMENTS,1 Bedroom ,"1,207"
986,PARK HILL/GREENTREE APARTMENTS,2 Bedrooms ,"1,361 - 1,442"
987,Lake Union Tower,1 Bedroom ,"1,895 - 2,050"
988,The Mill at First Hill,Studio ,"1,514 - 4,304"
989,The Mill at First Hill,1 Bedroom ,"1,689 - 5,077"
990,The Mill at First Hill,2 Bedrooms ,"2,170 - 7,700"
991,Lakeview Apartments,2 Bedrooms ,"1,780"
992,The Q Apartments,1 Bedroom ,"1,650 - 1,700"
993,Mio Apartments,Studio ,"1,625 - 1,758"
994,Mio Apartments,1 Bedroom ,"1,745 - 2,230"
995,Nova,1 Bedroom ,"1,650"
996,Nova,2 Bedrooms ,"1,820 - 2,200"
997,Normandy Apartments,1 Bedroom ,"1,195"
998,Spencer House,1 Bedroom ,"1,150"
999,Star Apartments,1 Bedroom ,"1,615"
1000,Blue Ridge Apartments,Studio ,"1,195"
1001,Blue Ridge Apartments,1 Bedroom ,"1,295"
1002,Blue Ridge Apartments,2 Bedrooms ,"1,495"
1003,The Portland Building,1 Bedroom ,"1,850"
1004,Altamira Apartments,Studio ,"1,495 - 1,550"
1005,Altamira Apartments,1 Bedroom ,"1,600 - 3,300"
1006,Altamira Apartments,2 Bedrooms ,"2,575 - 2,800"
1007,HANA Apartments,Studio ,"1,225"
1008,HANA Apartments,1 Bedroom ,"1,320 - 1,620"
1009,HANA Apartments,2 Bedrooms ,"1,936"
1010,Paul Revere,Studio ,"1,258 - 2,011"
