,propertyName,room,costRange
112,Chloe on Union,2 Bedrooms ,"3,028"
113,ArtHouse,Studio ,"1,636 - 1,916"
114,ArtHouse,1 Bedroom ,"1,951 - 2,420"
115,ArtHouse,C,a
116,Charbern Apartments,Studio ,"1,504 - 3,475"
117,Charbern Apartments,C,a
118,Charbern Apartments,C,a
119,Leilani Apartment Homes,Studio ,"1,350 - 1,940"
120,Leilani Apartment Homes,1 Bedroom ,"1,460 - 2,680"
121,Leilani Apartment Homes,2 Bedrooms ,"2,110 - 3,140"
122,Assembly118,C,a
123,Assembly118,1 Bedroom ,"1,563 - 2,700"
124,Assembly118,2 Bedrooms ,"2,951 - 2,961"
125,Origin Apartments,Studio ,"1,480 - 1,960"
126,Origin Apartments,1 Bedroom ,"1,581 - 2,460"
127,Origin Apartments,2 Bedrooms ,"2,195 - 2,940"
128,Overlook at Magnolia,1 Bedroom ,"1,575 - 2,585"
129,Overlook at Magnolia,2 Bedrooms ,"2,345 - 3,240"
130,Overlook at Magnolia,C,a
131,Overlook at Magnolia,C,a
132,Met Tower,Studio ,"1,995 - 2,295"
133,Met Tower,1 Bedroom ,"2,995 - 4,475"
134,Met Tower,2 Bedrooms ,"3,545 - 4,675"
135,Met Tower,C,a
136,Airmark Apartments,Studio ,"1,313 - 2,000"
137,Airmark Apartments,1 Bedroom ,"1,775 - 2,587"
138,Airmark Apartments,2 Bedrooms ,"2,510 - 3,623"
139,Airmark Apartments,3 Bedrooms ,"6,615 - 6,930"
140,Lofts at the Junction,Studio ,"1,300 - 1,425"
141,Fox & Finch Apartments,Studio ,"2,150 - 2,400"
142,Fox & Finch Apartments,1 Bedroom ,"2,400 - 2,550"
143,Fox & Finch Apartments,2 Bedrooms ,"3,150 - 3,475"
144,Ballard 57 Apartments,Studio ,"1,170 - 1,650"
145,Odin,C,a
146,Odin,1 Bedroom ,"1,682 - 2,348"
147,Odin,C,a
148,Mark on 8th,Studio ,"1,900"
149,Mark on 8th,1 Bedroom ,"2,140 - 2,175"
150,Mark on 8th,2 Bedrooms ,"3,070 - 3,230"
151,Lane,Studio ,"1,585 - 1,695"
152,Lane,1 Bedroom ,"1,740 - 1,900"
153,Lane,2 Bedrooms ,"2,700 - 2,885"
154,Bogtown Flats,1 Bedroom ,"1,600 - 2,310"
155,Bogtown Flats,2 Bedrooms ,"2,405 - 2,830"
156,Vida Seattle,Studio ,"1,717 - 1,875"
157,Vida Seattle,1 Bedroom ,"1,940 - 1,967"
158,Vida Seattle,2 Bedrooms ,"3,102"
159,Alexan 100,Studio ,"1,790 - 2,180"
160,Alexan 100,1 Bedroom ,"2,287 - 4,124"
161,Alexan 100,2 Bedrooms ,"3,495 - 6,020"
162,Alexan 100,C,a
163,STAZIONE25,Studio ,"1,800 - 1,865"
164,STAZIONE25,1 Bedroom ,"1,628 - 2,540"
165,STAZIONE25,2 Bedrooms ,"3,000 - 3,400"
166,Vive,Studio ,"1,420 - 2,005"
167,Vive,1 Bedroom ,"1,810 - 2,680"
168,Kiara,Studio ,"2,260 - 3,630"
169,Kiara,1 Bedroom ,"2,250 - 10,750"
170,Kiara,2 Bedrooms ,"3,885 - 13,160"
171,Kiara,3 Bedrooms ,"9,765 - 17,085"
172,624 Yale,Studio ,"1,700 - 1,850"
173,624 Yale,1 Bedroom ,"1,950 - 2,825"
174,624 Yale,2 Bedrooms ,"3,150 - 3,775"
175,Westlake Steps,1 Bedroom ,"1,720 - 3,495"
176,Westlake Steps,2 Bedrooms ,"3,160 - 5,670"
177,Cadence,1 Bedroom ,"1,849 - 1,899"
178,Cadence,C,a
179,Infinity Apartments,Studio ,"1,957 - 3,257"
180,Infinity Apartments,1 Bedroom ,"2,360 - 4,705"
181,Infinity Apartments,2 Bedrooms ,"3,530 - 5,270"
182,St. James Tower,C,a
183,St. James Tower,1 Bedroom ,"1,795 - 1,840"
184,St. James Tower,2 Bedrooms ,"2,360 - 2,985"
185,Sedona Apartments,Studio ,"846 - 2,171"
186,Sedona Apartments,1 Bedroom ,"2,322 - 4,164"
187,Sedona Apartments,C,a
188,Broadstone Sky,1 Bedroom ,"1,660 - 3,247"
189,Broadstone Sky,2 Bedrooms ,"2,735 - 3,805"
190,Overlook at Westridge,C,a
191,Overlook at Westridge,1 Bedroom ,"1,764 - 1,839"
192,Overlook at Westridge,2 Bedrooms ,"1,899 - 1,939"
193,Overlook at Westridge,3 Bedrooms ,"2,451 - 2,491"
194,Batik,C,a
195,Batik,1 Bedroom ,"2,030 - 3,795"
196,Batik,2 Bedrooms ,"2,940 - 4,928"
197,One Lakefront,1 Bedroom ,"1,845 - 3,835"
198,One Lakefront,2 Bedrooms ,"2,985 - 4,605"
199,One Lakefront,C,a
200,JUXT,Studio ,"1,890 - 3,165"
201,JUXT,1 Bedroom ,"1,885 - 4,300"
202,JUXT,2 Bedrooms ,"3,155 - 5,135"
203,JUXT,3 Bedrooms ,"4,060 - 5,660"
204,Rivet Apartments,1 Bedroom ,"1,965 - 3,453"
205,Rivet Apartments,2 Bedrooms ,"2,998 - 4,849"
206,Bowman,C,a
207,Bowman,1 Bedroom ,"1,761 - 3,322"
208,Bowman,2 Bedrooms ,"3,122 - 6,006"
209,Malloy,Studio ,"1,368 - 2,448"
210,Malloy,1 Bedroom ,"1,889 - 2,200"
211,Premiere on Pine,Studio ,"1,905 - 2,320"
212,Premiere on Pine,1 Bedroom ,"2,015 - 5,320"
213,Premiere on Pine,2 Bedrooms ,"3,200 - 8,105"
214,Premiere on Pine,3 Bedrooms ,"6,065 - 7,575"
215,Garden Pointe,1 Bedroom ,"1,525"
216,Garden Pointe,2 Bedrooms ,"1,695 - 1,825"
217,Common Madison,Studio ,"1,000 - 1,200"
218,Chroma SLU,1 Bedroom ,"1,905 - 3,740"
219,Chroma SLU,2 Bedrooms ,"2,955 - 4,540"
220,Kinects Tower,Studio ,"1,755 - 2,485"
221,Kinects Tower,1 Bedroom ,"2,815 - 2,825"
222,Kinects Tower,2 Bedrooms ,"4,065"
223,Arrive,Studio ,"2,095 - 2,150"
224,Arrive,1 Bedroom ,"2,895 - 3,895"
225,Arrive,2 Bedrooms ,"4,120 - 6,995"
226,Verve Apartments,Studio ,"1,640 - 1,988"
227,Verve Apartments,1 Bedroom ,"1,985 - 2,019"
228,Verve Apartments,2 Bedrooms ,"2,561 - 2,958"
229,Thornton Place,Studio ,"1,940 - 2,170"
230,Thornton Place,1 Bedroom ,"1,612 - 2,210"
231,Thornton Place,2 Bedrooms ,"2,018 - 2,995"
232,Vertex Off Broadway,Studio ,"1,559 - 2,050"
233,Vertex Off Broadway,1 Bedroom ,"2,050 - 2,474"
234,Vertex Off Broadway,2 Bedrooms ,"3,185 - 3,600"
235,Ballard on the Park,Studio ,"1,610 - 1,811"
236,Ballard on the Park,1 Bedroom ,"2,018 - 2,825"
237,Ballard on the Park,2 Bedrooms ,"2,822 - 3,077"
238,Aura West Seattle,Studio ,"1,460 - 1,689"
239,Aura West Seattle,1 Bedroom ,"1,715 - 2,632"
240,Aura West Seattle,2 Bedrooms ,"1,907 - 3,252"
241,Leeward,Studio ,"2,125 - 2,325"
242,Leeward,1 Bedroom ,"1,460 - 3,110"
243,Leeward,2 Bedrooms ,"3,045 - 3,895"
244,Alto Apartments,1 Bedroom ,"1,399 - 2,699"
245,Alto Apartments,2 Bedrooms ,"2,668 - 3,668"
246,206 Bell,Studio ,"1,294 - 2,122"
247,206 Bell,1 Bedroom ,"1,504 - 2,558"
248,206 Bell,2 Bedrooms ,"2,658 - 3,723"
249,The Post,Studio ,"1,513 - 1,710"
250,The Post,1 Bedroom ,"1,743 - 2,279"
251,The Post,2 Bedrooms ,"3,155 - 3,390"
252,Summit At Madison Park,Studio ,"1,597 - 1,670"
253,Summit At Madison Park,1 Bedroom ,"1,850 - 2,290"
254,Summit At Madison Park,2 Bedrooms ,"2,510 - 2,820"
255,Summit At Madison Park,3 Bedrooms ,"3,440 - 3,640"
256,The Shelby,Studio ,"1,515 - 1,780"
257,The Shelby,1 Bedroom ,"2,060 - 2,480"
258,The Shelby,2 Bedrooms ,"2,560 - 3,085"
259,East Howe Steps,Studio ,"1,544 - 1,848"
260,East Howe Steps,1 Bedroom ,"1,705 - 2,932"
261,East Howe Steps,2 Bedrooms ,"2,787 - 3,674"
262,Element 42,Studio ,"1,409 - 1,623"
263,Element 42,1 Bedroom ,"1,385 - 2,106"
264,Excelsior,Studio ,"1,660 - 2,185"
265,Excelsior,1 Bedroom ,"1,840 - 3,550"
266,Excelsior,2 Bedrooms ,"3,105 - 4,980"
267,Excelsior,3 Bedrooms ,"3,950 - 5,905"
268,Koi,Studio ,"1,617 - 5,172"
269,Koi,1 Bedroom ,"2,538 - 9,107"
270,Koi,2 Bedrooms ,"2,959 - 9,719"
271,The Loop,Studio ,"1,500 - 1,650"
272,The Loop,1 Bedroom ,"1,925"
273,The Wilcox,Studio ,"1,562 - 5,323"
274,The Wilcox,1 Bedroom ,"1,680 - 6,552"
275,The Wilcox,2 Bedrooms ,"2,716 - 8,606"
276,The Wilcox,3 Bedrooms ,"3,070 - 10,593"
277,3030 Lake City,Studio ,"1,299"
278,3030 Lake City,1 Bedroom ,"1,499 - 1,625"
279,3030 Lake City,C,a
280,Stack House,Studio ,"1,954 - 6,746"
281,Stack House,1 Bedroom ,"2,335 - 9,122"
282,Stack House,2 Bedrooms ,"3,461 - 14,192"
283,Stack House,3 Bedrooms ,"4,259 - 19,368"
