,0
0,1593.0
1,1663.0
2,1766.0
3,1766.0
4,1865.0
5,1865.0
6,1895.0
7,2085.0
8,2110.0
9,2135.0
10,2175.0
11,2475.0
12,2500.0
13,3048.0
14,3073.0
15,3153.0
16,2085.0
17,3293.0
18,1577.0
19,1861.0
20,2110.0
21,3088.0
22,1991.0
23,2255.0
24,2475.0
25,2395.0
26,3243.0
27,1816.0
28,3103.0
29,3048.0
30,1945.0
