,propertyName,beds,baths,rent,sqft,availability,deposit,unit,leaseLength,name,new,applyNow
1305,Griffis Belltown,Studio,1 Bath,"$2,080",589 Sq Ft,Jun 25,,,,Pine,,
1306,Griffis Belltown,Studio,1 Bath,"$2,080",589 Sq Ft,Jun 25,,1-112,,Pine,,
1307,Tellus on Dexter Apartments,Studio,1 Bath,"$2,200 - 2,250",508 Sq Ft,Available Now,,,,Studio A1 - A,,
1308,Tellus on Dexter Apartments,Studio,1 Bath,"$2,200",508 Sq Ft,Available Now,,209,,Studio A1 - A,,
1309,Tellus on Dexter Apartments,Studio,1 Bath,"$2,200",508 Sq Ft,Available Now,,208,,Studio A1 - A,,
1310,Tellus on Dexter Apartments,Studio,1 Bath,"$2,250",508 Sq Ft,Available Now,,309,,Studio A1 - A,,
1311,Tellus on Dexter Apartments,Studio,1 Bath,"$2,325 - 2,450",508 Sq Ft,Available Now,,,,Studio A1,,
1312,Tellus on Dexter Apartments,Studio,1 Bath,"$2,325",508 Sq Ft,Available Now,,509,,Studio A1,,
1313,Tellus on Dexter Apartments,Studio,1 Bath,"$2,400",508 Sq Ft,Available Now,,609,,Studio A1,,
1314,Tellus on Dexter Apartments,Studio,1 Bath,"$2,450",508 Sq Ft,Available Now,,708,,Studio A1,,
1315,Tellus on Dexter Apartments,Studio,1 Bath,"$2,400",541 Sq Ft,Available Now,,207,,Studio A2,,
1316,Tellus on Dexter Apartments,Studio,1 Bath,"$2,400",541 Sq Ft,Available Now,,206,,Studio A2,,
1317,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,000",457 Sq Ft,Available Now,,211,,One Bedroom G,,
1318,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,500",646 Sq Ft,Available Now,,204,,One Bedroom B,,
1319,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,600 - 2,650",652 Sq Ft,Available Now,,,,One Bedroom F,,
1320,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,600",652 Sq Ft,Available Now,,212,,One Bedroom F,,
1321,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,625",652 Sq Ft,Available Now,,312,,One Bedroom F,,
1322,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,650",652 Sq Ft,Available Now,,712,,One Bedroom F,,
1323,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,600 - 2,750",614 Sq Ft,Available Now,,,,One Bedroom E,,
1324,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,600",614 Sq Ft,Available Now,,501,,One Bedroom E,,
1325,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,600",614 Sq Ft,Available Now,,301,,One Bedroom E,,
1326,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,600",614 Sq Ft,Available Now,,201,,One Bedroom E,,
1327,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,650",614 Sq Ft,Available Now,,701,,One Bedroom E,,
1328,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,700",614 Sq Ft,Available Now,,614,,One Bedroom E,,
1329,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,725",614 Sq Ft,Available Now,,714,,One Bedroom E,,
1330,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,750",614 Sq Ft,Available Now,,814,,One Bedroom E,,
1331,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,625 - 2,725",689 Sq Ft,Available Now,,,,One Bedroom D,,
1332,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,625",689 Sq Ft,Available Now,,402,,One Bedroom D,,
1333,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,725",689 Sq Ft,Available Now,,602,,One Bedroom D,,
1334,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,700",634 Sq Ft,Available Now,,202,,One Bedroom H,,
1335,Tellus on Dexter Apartments,2 BRs,2 Baths,"$3,400",938 Sq Ft,Available Now,,203,,Two Bedroom C - Type A,,
1336,Tellus on Dexter Apartments,2 BRs,2 Baths,"$3,650 - 3,775",938 Sq Ft,Available Now,,,,Two Bedroom C,,
1337,Tellus on Dexter Apartments,2 BRs,2 Baths,"$3,650",938 Sq Ft,Available Now,,303,,Two Bedroom C,,
1338,Tellus on Dexter Apartments,2 BRs,2 Baths,"$3,725",938 Sq Ft,Available Now,,603,,Two Bedroom C,,
1339,Tellus on Dexter Apartments,2 BRs,2 Baths,"$3,750",938 Sq Ft,Available Now,,703,,Two Bedroom C,,
1340,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,675",690 Sq Ft,May 28,,313,,One Bedroom D2 - CONC,,
1341,Tellus on Dexter Apartments,Studio,1 Bath,"$2,400",541 Sq Ft,Jun 3,,205,,Studio A2,,
1342,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,600",614 Sq Ft,Jun 3,,214,,One Bedroom E,,
1343,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,700",634 Sq Ft,Jun 10,,210,,One Bedroom H,,
1344,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,650",690 Sq Ft,Jul 1,,213,,One Bedroom D2 - CONC,,
1345,Tellus on Dexter Apartments,1 Bed,1 Bath,"$2,700",634 Sq Ft,Sep 9,,302,,One Bedroom H,,
1346,Sitka,Studio,1 Bath,"$1,929",499 Sq Ft,Available Now,,,,Open 1x1 - 1,,
1347,Sitka,Studio,1 Bath,"$2,328",561 Sq Ft,Available Now,,,,Open 1x1 - 4,,
1348,Sitka,Studio,1 Bath,"$2,348",619 Sq Ft,Available Now,,,,Open 1x1 - 8,,
1349,Sitka,Studio,1 Bath,"$2,352",590 - 596 Sq Ft,Available Now,,,,Open 1x1 - 7,,
1350,Sitka,Studio,1 Bath,"$2,380",676 Sq Ft,Available Now,,,,Open 1x1 - 13,,
1351,Sitka,Studio,1 Bath,"$2,393",575 Sq Ft,Available Now,,,,Open 1x1 - 6,,
1352,Sitka,1 Bed,1 Bath,"$2,332",566 Sq Ft,Available Now,,,,1x1 - 3,,
1353,Sitka,1 Bed,1 Bath,"$2,347",574 Sq Ft,Available Now,,,,1x1 - 4,,
1354,Sitka,1 Bed,1 Bath,"$2,503",613 Sq Ft,Available Now,,,,1x1 - 5,New,
1355,Sitka,1 Bed,1 Bath,"$2,540",620 - 621 Sq Ft,Available Now,,,,1x1 - 7,,
1356,Sitka,1 Bed,1 Bath,"$2,733",765 - 766 Sq Ft,Available Now,,,,1x1 - 15,,
1357,Sitka,1 Bed,1 Bath,"$2,752",767 Sq Ft,Available Now,,,,1x1 - 14,,
1358,Sitka,2 BRs,2 Baths,"$3,773","1,098 Sq Ft",Available Now,,,,2x2 TH - 7,,
1359,Sitka,2 BRs,2 Baths,"$3,909","1,091 Sq Ft",Available Now,,,,2x2 - 4,,
1360,Sitka,2 BRs,2 Baths,"$4,050","1,359 Sq Ft",Available Now,,,,2x2 TH - 3,,
1361,Sitka,2 BRs,2 Baths,"$4,164","1,173 Sq Ft",Available Now,,,,2x2 - 6,,
1362,Sitka,Studio,1 Bath,"$2,208",543 Sq Ft,Not Available,,,,Open 1x1 - 2,,
1363,Sitka,Studio,1 Bath,"$2,230",625 Sq Ft,Not Available,,,,Open 1x1 - 11,,
1364,Sitka,Studio,1 Bath,"$2,275",651 Sq Ft,Not Available,,,,Open 1x1 - 12,,
1365,Sitka,Studio,1 Bath,"$2,342",566 Sq Ft,Not Available,,,,Open 1x1 - 5,,
1366,Sitka,Studio,1 Bath,"$2,354",638 Sq Ft,Not Available,,,,Open 1x1 - 9,,
1367,Sitka,Studio,1 Bath,"$2,369",679 Sq Ft,Not Available,,,,Open 1x1 - 10,,
1368,Sitka,Studio,1 Bath,"$2,372",568 Sq Ft,Not Available,,,,Open 1x1 - 3,,
1369,Sitka,Studio,1 Bath,"$2,484",800 Sq Ft,Not Available,,,,Open 1x1 - 14,,
1370,Sitka,Studio,1 Bath,"$2,768",839 Sq Ft,Not Available,,,,Open 1x1 - 15,,
1371,Sitka,1 Bed,1 Bath,"$2,227",522 Sq Ft,Not Available,,,,1x1 - 1,,
1372,Sitka,1 Bed,1 Bath,"$2,312",555 Sq Ft,Not Available,,,,1x1 - 2,,
1373,Sitka,1 Bed,1 Bath,"$2,340",560 Sq Ft,Not Available,,,,1x1 - 6,,
1374,Sitka,1 Bed,1 Bath,"$2,418",729 Sq Ft,Not Available,,,,1x1 D - 2,,
1375,Sitka,1 Bed,1 Bath,"$2,441",647 Sq Ft,Not Available,,,,1x1 - 8,,
1376,Sitka,1 Bed,1 Bath,"$2,550",727 Sq Ft,Not Available,,,,1x1 - 11,,
1377,Sitka,1 Bed,1 Bath,"$2,552",695 Sq Ft,Not Available,,,,1x1 D - 1,,
1378,Sitka,1 Bed,1 Bath,"$2,577",676 Sq Ft,Not Available,,,,1x1 - 9,,
1379,Sitka,1 Bed,1 Bath,"$2,590",713 Sq Ft,Not Available,,,,1x1 - 10,,
1380,Sitka,1 Bed,1 Bath,"$2,618",755 Sq Ft,Not Available,,,,1x1 - 13,,
1381,Sitka,1 Bed,1 Bath,"$2,647",832 Sq Ft,Not Available,,,,1x1 - 17,,
1382,Sitka,1 Bed,1 Bath,"$2,682",829 Sq Ft,Not Available,,,,1x1 D - 4,,
1383,Sitka,1 Bed,1 Bath,"$2,738",758 Sq Ft,Not Available,,,,1x1 D - 3,,
1384,Sitka,1 Bed,1 Bath,"$2,746",812 Sq Ft,Not Available,,,,1x1 - 16,,
1385,Sitka,1 Bed,1 Bath,"$2,775",741 Sq Ft,Not Available,,,,1x1 - 12,,
1386,Sitka,1 Bed,1 Bath,"$2,805",865 Sq Ft,Not Available,,,,1x1 D - 5,,
1387,Sitka,1 Bed,1 Bath,"$2,817",866 Sq Ft,Not Available,,,,1x1 - 18,,
1388,Sitka,1 Bed,1½ Baths,"$2,966",824 Sq Ft,Not Available,,,,1x1 TH - 1,,
1389,Sitka,1 Bed,1 Bath,"$2,999",961 Sq Ft,Not Available,,,,1x1 - 19,,
1390,Sitka,1 Bed,1 Bath,"$3,015",942 Sq Ft,Not Available,,,,1x1 - 20,,
1391,Sitka,1 Bed,1 Bath,"$3,045",931 Sq Ft,Not Available,,,,1x1 D - 7,,
1392,Sitka,1 Bed,1 Bath,"$3,078",869 Sq Ft,Not Available,,,,1x1 D - 6,,
1393,Sitka,1 Bed,1 Bath,"$3,221",950 Sq Ft,Not Available,,,,1x1 D - 8,,
1394,Sitka,1 Bed,2 Baths,"$3,334",937 Sq Ft,Not Available,,,,1x2 TH - 1,,
1395,Sitka,2 BRs,2 Baths,"$3,399","1,010 Sq Ft",Not Available,,,,2x2 - 2,,
1396,Sitka,2 BRs,2 Baths,"$3,414",998 Sq Ft,Not Available,,,,2x2 - 1,,
1397,Sitka,2 BRs,2 Baths,"$3,445","1,086 Sq Ft",Not Available,,,,2x2 TH - 5,,
1398,Sitka,2 BRs,2 Baths,"$3,583","1,056 Sq Ft",Not Available,,,,2x2 - 3,,
1399,Sitka,2 BRs,1 Bath,"$3,705","1,008 Sq Ft",Not Available,,,,2x1 TH - 1,,
1400,Sitka,2 BRs,2 Baths,"$3,875","1,135 Sq Ft",Not Available,,,,2x2 TH - 6,,
1401,Sitka,2 BRs,2 Baths,"$3,977","1,227 Sq Ft",Not Available,,,,2x2 TH - 2,,
1402,Sitka,2 BRs,2 Baths,"$3,978","1,136 Sq Ft",Not Available,,,,2x2 - 5,,
1403,Sitka,2 BRs,2 Baths,"$4,028","1,143 Sq Ft",Not Available,,,,2x2 TH - 8,,
1404,Sitka,2 BRs,2 Baths,"$4,043","1,278 Sq Ft",Not Available,,,,2x2 TH - 4,,
1405,Sitka,2 BRs,2 Baths,"$4,134","1,273 Sq Ft",Not Available,,,,2x2 TH - 1,,
1406,Sitka,2 BRs,2 Baths,"$5,749","1,347 Sq Ft",Not Available,,,,2x2 TH - 9,,
1407,Ascent South Lake Union,1 Bed,1 Bath,"$2,690",680 Sq Ft,Available Now,,,,B02,,
1408,Ascent South Lake Union,1 Bed,1 Bath,"$2,723",761 Sq Ft,Available Now,,,,B07,,
1409,Ascent South Lake Union,1 Bed,1 Bath,"$2,792",776 Sq Ft,Available Now,,,,B09,,
1410,Ascent South Lake Union,1 Bed,1 Bath,"$2,880",725 Sq Ft,Available Now,,,,B14,,
1411,Ascent South Lake Union,1 Bed,1 Bath,"$2,887",743 Sq Ft,Available Now,,,,B10,,
1412,Ascent South Lake Union,1 Bed,1 Bath,"$3,029",836 Sq Ft,Available Now,,,,B06,,
1413,Ascent South Lake Union,1 Bed,1 Bath,"$3,163",691 Sq Ft,Available Now,,,,B12,,
1414,Ascent South Lake Union,2 BRs,2 Baths,"$3,750","1,177 Sq Ft",Available Now,,,,C02,,
1415,Ascent South Lake Union,2 BRs,2 Baths,"$3,836","1,108 Sq Ft",Available Now,,,,C10,,
1416,Ascent South Lake Union,2 BRs,2 Baths,"$3,947","1,116 Sq Ft",Available Now,,,,C03,,
1417,Ascent South Lake Union,2 BRs,2 Baths,"$4,015","1,046 Sq Ft",Available Now,,,,C06,,
1418,Ascent South Lake Union,2 BRs,2 Baths,"$4,068","1,070 Sq Ft",Available Now,,,,C07,,
1419,Ascent South Lake Union,2 BRs,2 Baths,"$4,373","1,067 Sq Ft",Available Now,,,,C05,,
1420,Ascent South Lake Union,2 BRs,2 Baths,"$4,701","1,031 Sq Ft",Available Now,,,,C09,,
1421,Ascent South Lake Union,2 BRs,2 Baths,"$8,830","1,831 Sq Ft",Available Now,,,,D02,,
1422,Ascent South Lake Union,2 BRs,2 Baths,"$8,903","1,748 Sq Ft",Available Now,,,,D03,,
1423,Ascent South Lake Union,3 BRs,2 Baths,"$8,490","1,712 Sq Ft",Available Now,,,,D01,,
1424,Ascent South Lake Union,1 Bed,1 Bath,"$2,400",631 Sq Ft,Not Available,,,,E01,,
1425,Ascent South Lake Union,1 Bed,1 Bath,"$2,584",699 Sq Ft,Not Available,,,,B11,,
1426,Ascent South Lake Union,1 Bed,1 Bath,"$2,615",696 Sq Ft,Not Available,,,,B04,,
1427,Ascent South Lake Union,1 Bed,1 Bath,"$2,686",669 Sq Ft,Not Available,,,,B13,,
1428,Ascent South Lake Union,1 Bed,1 Bath,"$2,698",803 Sq Ft,Not Available,,,,B03,,
1429,Ascent South Lake Union,1 Bed,1 Bath,"$2,748",765 Sq Ft,Not Available,,,,B01 Type A,,
1430,Ascent South Lake Union,1 Bed,1 Bath,"$2,826",765 Sq Ft,Not Available,,,,B01,,
1431,Ascent South Lake Union,1 Bed,1 Bath,"$2,932",803 Sq Ft,Not Available,,,,B05,,
1432,Ascent South Lake Union,1 Bed,1 Bath,"$3,055",743 Sq Ft,Not Available,,,,B10 Type A,,
1433,Ascent South Lake Union,1 Bed,1 Bath,"$3,271",991 Sq Ft,Not Available,,,,E02,,
1434,Ascent South Lake Union,1 Bed,1 Bath,"$3,285",951 Sq Ft,Not Available,,,,B08,,
1435,Ascent South Lake Union,1 Bed,1 Bath,"$3,462","1,224 Sq Ft",Not Available,,,,E03,,
1436,Ascent South Lake Union,2 BRs,2 Baths,"$3,206","1,098 Sq Ft",Not Available,,,,C01 Type A,,
1437,Ascent South Lake Union,2 BRs,2 Baths,"$3,578","1,098 Sq Ft",Not Available,,,,C01,,
1438,Ascent South Lake Union,2 BRs,2 Baths,"$3,709","1,165 Sq Ft",Not Available,,,,C08,,
1439,Ascent South Lake Union,2 BRs,2 Baths,"$4,053","1,070 Sq Ft",Not Available,,,,C07 Type A,,
1440,Ascent South Lake Union,2 BRs,2 Baths,"$4,843","1,070 Sq Ft",Not Available,,,,F07,,
1441,Marlowe,Studio,1 Bath,"$2,299 - 2,556",534 Sq Ft,Available Now,,,,A01,,
1442,Marlowe,Studio,1 Bath,"$2,387 - 2,810",565 Sq Ft,Available Now,,,,A02b,,
1443,Marlowe,Studio,1 Bath,"$2,464 - 2,645",583 Sq Ft,Available Now,,,,A02,,
1444,Marlowe,Studio,1 Bath,"$2,470 - 2,620",620 Sq Ft,Available Now,,,,A03 Type A,,
1445,Marlowe,Studio,1 Bath,"$2,557",620 Sq Ft,Available Now,,,,A03,,
1446,Marlowe,Studio,1 Bath,"$2,645",802 Sq Ft,Available Now,,,,E02,,
1447,Marlowe,1 Bed,1 Bath,"$2,507",630 Sq Ft,Available Now,,,,B03f,,
1448,Marlowe,1 Bed,1 Bath,"$2,585 - 2,630",672 Sq Ft,Available Now,,,,B03c,,
1449,Marlowe,1 Bed,1 Bath,"$2,652 - 2,824",713 Sq Ft,Available Now,,,,B01a,,
1450,Marlowe,1 Bed,1 Bath,"$2,667 - 2,735",706 Sq Ft,Available Now,,,,B06,,
1451,Marlowe,1 Bed,1 Bath,"$2,733 - 2,868",760 Sq Ft,Available Now,,,,B01b,,
1452,Marlowe,1 Bed,1 Bath,"$2,814 - 3,164",753 Sq Ft,Available Now,,,,B05,,
1453,Marlowe,1 Bed,1 Bath,"$2,866",715 Sq Ft,Available Now,,,,B04b,,
1454,Marlowe,1 Bed,1 Bath,"$3,089 - 3,539",875 Sq Ft,Available Now,,,,B02,,
1455,Marlowe,2 BRs,2 Baths,"$3,463 - 3,587","1,023 Sq Ft",Available Now,,,,C01b,,
1456,Marlowe,2 BRs,2 Baths,"$3,544 - 3,680","1,022 Sq Ft",Available Now,,,,C02 Type A,,
1457,Marlowe,2 BRs,2 Baths,"$3,879 - 4,339","1,025 Sq Ft",Available Now,,,,C02,,
1458,Marlowe,2 BRs,2 Baths,"$3,923 - 4,048","1,070 Sq Ft",Available Now,,,,C04,,
1459,Marlowe,2 BRs,2 Baths,"$4,092 - 4,392","1,101 Sq Ft",Available Now,,,,C05,,
1460,Marlowe,2 BRs,2 Baths,"$4,422 - 4,442","1,281 Sq Ft",Available Now,,,,C03,,
1461,Marlowe,Studio,1 Bath,"$2,079 - 2,094",522 Sq Ft,Not Available,,,,A01b,,
1462,Marlowe,Studio,1 Bath,"$2,168 - 2,183",555 Sq Ft,Not Available,,,,A01c,,
1463,Marlowe,Studio,1 Bath,"$2,195",499 Sq Ft,Not Available,,,,A02e,,
1464,Marlowe,Studio,1 Bath,"$2,210 - 2,235",565 Sq Ft,Not Available,,,,A02f,,
1465,Marlowe,Studio,1 Bath,"$2,255 - 2,410",582 Sq Ft,Not Available,,,,A02c,,
1466,Marlowe,Studio,1 Bath,"$2,275 - 2,320",572 Sq Ft,Not Available,,,,A02a,,
1467,Marlowe,Studio,1 Bath,"$2,330",532 Sq Ft,Not Available,,,,A02d,,
1468,Marlowe,Studio,1 Bath,"$2,459 - 2,494",581 Sq Ft,Not Available,,,,A02h,,
1469,Marlowe,Studio,1 Bath,"$2,463 - 2,488",565 Sq Ft,Not Available,,,,A02g,,
1470,Marlowe,Studio,1 Bath,"$2,597 - 2,782",565 Sq Ft,Not Available,,,,A01a,,
1471,Marlowe,Studio,1 Bath,"$2,662",666 Sq Ft,Not Available,,,,A02i,,
1472,Marlowe,Studio,1 Bath,"$3,332",951 Sq Ft,Not Available,,,,E03,,
1473,Marlowe,Studio,1 Bath,"$3,645","1,083 Sq Ft",Not Available,,,,E01,,
1474,Marlowe,1 Bed,1 Bath,"$2,348",570 Sq Ft,Not Available,,,,B03e,,
1475,Marlowe,1 Bed,1 Bath,"$2,375 - 2,410",659 Sq Ft,Not Available,,,,B03g,,
1476,Marlowe,1 Bed,1 Bath,"$2,408 - 2,543",660 Sq Ft,Not Available,,,,B03b,,
1477,Marlowe,1 Bed,1 Bath,"$2,438 - 2,528",664 Sq Ft,Not Available,,,,B03a,,
1478,Marlowe,1 Bed,1 Bath,"$2,493",601 Sq Ft,Not Available,,,,B03d,,
1479,Marlowe,1 Bed,1 Bath,"$2,594 - 2,654",695 Sq Ft,Not Available,,,,B01c,,
1480,Marlowe,1 Bed,1 Bath,"$2,602 - 2,737",695 Sq Ft,Not Available,,,,B01,,
1481,Marlowe,1 Bed,1 Bath,"$2,626",678 Sq Ft,Not Available,,,,B06b,,
1482,Marlowe,1 Bed,1 Bath,"$2,632",664 Sq Ft,Not Available,,,,B06c,,
1483,Marlowe,1 Bed,1 Bath,"$2,640 - 2,665",718 Sq Ft,Not Available,,,,B05a,,
1484,Marlowe,1 Bed,1 Bath,"$2,648 - 2,708",712 Sq Ft,Not Available,,,,B01d,,
1485,Marlowe,1 Bed,1 Bath,"$2,675 - 2,720",746 Sq Ft,Not Available,,,,B06a,,
1486,Marlowe,1 Bed,1 Bath,"$2,697 - 2,757",759 Sq Ft,Not Available,,,,B01e,,
1487,Marlowe,1 Bed,1 Bath,"$2,731 - 2,866",692 Sq Ft,Not Available,,,,B03,,
1488,Marlowe,1 Bed,1 Bath,"$2,781 - 2,891",716 Sq Ft,Not Available,,,,B04a,,
1489,Marlowe,1 Bed,1 Bath,"$2,842 - 2,997",821 Sq Ft,Not Available,,,,B07 Type A,,
1490,Marlowe,1 Bed,1 Bath,"$2,887 - 2,907",805 Sq Ft,Not Available,,,,B04,,
1491,Marlowe,1 Bed,1 Bath,"$2,905 - 2,940",787 Sq Ft,Not Available,,,,B07,,
1492,Marlowe,1 Bed,1 Bath,"$3,197 - 3,257",875 Sq Ft,Not Available,,,,B02a,,
1493,Marlowe,2 BRs,2 Baths,"$3,706 - 3,766","1,100 Sq Ft",Not Available,,,,C05a,,
1494,Marlowe,2 BRs,2 Baths,"$3,731 - 3,976","1,028 Sq Ft",Not Available,,,,C01,,
1495,Marlowe,2 BRs,2 Baths,"$3,760",965 Sq Ft,Not Available,,,,C01a,,
1496,Marlowe,2 BRs,2 Baths,"$4,112","1,105 Sq Ft",Not Available,,,,C03a,,
1497,Spruce,Studio,1 Bath,"$1,521",350 Sq Ft,Available Now,,,,Unit 19,,
1498,Spruce,1 Bed,1 Bath,"$1,812",575 Sq Ft,Available Now,,,,Unit 16,,
1499,Spruce,1 Bed,1 Bath,"$1,890",695 Sq Ft,Available Now,,,,Unit 8,,
1500,Spruce,1 Bed,1 Bath,"$1,915",708 Sq Ft,Available Now,,,,Unit 3A,,
1501,Spruce,1 Bed,1 Bath,"$2,067",678 Sq Ft,Available Now,,,,Unit 22,,
1502,Spruce,1 Bed,1 Bath,"$2,155",728 Sq Ft,Available Now,,,,Unit 4,,
1503,Spruce,1 Bed,1 Bath,"$2,287",752 Sq Ft,Available Now,,,,Unit 3,,
1504,Spruce,2 BRs,1 Bath,"$2,295",837 Sq Ft,Available Now,,,,Unit 2,,
1505,Spruce,2 BRs,2 Baths,"$2,650",988 Sq Ft,Available Now,,,,Unit 12,,
1506,Spruce,2 BRs,2 Baths,"$2,790","1,034 Sq Ft",Available Now,,,,Unit 20,,
1507,Spruce,2 BRs,1 Bath,"$3,415","1,406 Sq Ft",Available Now,,,,Unit 5,,
1508,Spruce,Studio,1 Bath,"$1,490",403 Sq Ft,Not Available,,,,Unit 21,,
1509,Spruce,Studio,1 Bath,"$1,511",494 Sq Ft,Not Available,,,,Unit 1A,,
1510,Spruce,1 Bed,1 Bath,"$1,590",483 Sq Ft,Not Available,,,,Unit 15,,
1511,Spruce,1 Bed,1 Bath,"$1,652",493 Sq Ft,Not Available,,,,Unit 1,,
1512,Spruce,1 Bed,1 Bath,"$1,676",493 Sq Ft,Not Available,,,,Unit 17,,
1513,Spruce,1 Bed,1 Bath,"$1,745",525 Sq Ft,Not Available,,,,Unit 7,,
1514,Spruce,1 Bed,1 Bath,"$1,795",525 Sq Ft,Not Available,,,,Unit 7A,,
1515,Spruce,1 Bed,1 Bath,"$1,956",657 Sq Ft,Not Available,,,,Unit 23,,
1516,Spruce,1 Bed,1 Bath,"$2,150",810 Sq Ft,Not Available,,,,Unit 11,,
1517,Spruce,1 Bed,1 Bath,"$2,241",841 Sq Ft,Not Available,,,,Unit 18A,,
1518,Spruce,1 Bed,1 Bath,"$2,346",841 Sq Ft,Not Available,,,,Unit 18,,
1519,Spruce,1 Bed,1 Bath,"$2,384",858 Sq Ft,Not Available,,,,Unit 14,,
1520,Spruce,2 BRs,2 Baths,"$2,437",869 Sq Ft,Not Available,,,,Unit 6,,
1521,Spruce,2 BRs,2 Baths,"$2,620",975 Sq Ft,Not Available,,,,Unit 13,,
1522,Spruce,2 BRs,2 Baths,"$2,675",900 Sq Ft,Not Available,,,,Unit 4A,,
1523,Spruce,2 BRs,2 Baths,"$2,677",906 Sq Ft,Not Available,,,,Unit 10,,
1524,Spruce,2 BRs,2 Baths,"$2,883","1,203 Sq Ft",Not Available,,,,Unit 9A,,
1525,Spruce,2 BRs,2 Baths,"$2,923","1,203 Sq Ft",Not Available,,,,Unit 9,,
1526,Helios,Studio,1 Bath,"$1,955",522 Sq Ft,Available Now,,,,S5a,,
1527,Helios,Studio,1 Bath,"$1,955",522 Sq Ft,Available Now,,1-1210,,S5a,,
1528,Helios,1 Bed,1 Bath,"$2,230",715 Sq Ft,Available Now,,,,A3a,,
1529,Helios,1 Bed,1 Bath,"$2,230",715 Sq Ft,Available Now,,1-1302,,A3a,,
1530,Helios,1 Bed,1 Bath,"$2,270 - 2,490",600 - 609 Sq Ft,Available Now,,,,O3b,,
1531,Helios,1 Bed,1 Bath,"$2,270",600 Sq Ft,Available Now,,1-1607,,O3b,,
1532,Helios,1 Bed,1 Bath,"$2,295",562 Sq Ft,Available Now,,,,O1b Level 28-30,,
1533,Helios,1 Bed,1 Bath,"$2,295",562 Sq Ft,Available Now,,1-2905,,O1b Level 28-30,,
1534,Helios,1 Bed,1 Bath,"$2,330",584 Sq Ft,Available Now,,,,O2b Level 14-30,,
1535,Helios,1 Bed,1 Bath,"$2,330",584 Sq Ft,Available Now,,1-2806,,O2b Level 14-30,,
1536,Helios,1 Bed,1 Bath,"$2,555",697 Sq Ft,Available Now,,,,A8a,,
1537,Helios,1 Bed,1 Bath,"$2,555",697 Sq Ft,Available Now,,1-812,,A8a,,
1538,Helios,1 Bed,1 Bath,"$2,960",738 Sq Ft,Available Now,,,,A3c,,
1539,Helios,1 Bed,1 Bath,"$2,960",738 Sq Ft,Available Now,,1-3102,,A3c,,
1540,Helios,1 Bed,1 Bath,"$3,160",862 Sq Ft,Available Now,,,,A10,,
1541,Helios,1 Bed,1 Bath,"$3,160",862 Sq Ft,Available Now,,1-3402,,A10,,
1542,Helios,1 Bed,1 Bath,"$3,440 - 3,535",860 Sq Ft,Available Now,,,,A15,,
1543,Helios,1 Bed,1 Bath,"$3,535",860 Sq Ft,Available Now,,1-3907,,A15,,
1544,Helios,2 BRs,2 Baths,"$5,490","1,154 Sq Ft",Available Now,,,,B4 No Terrace,,
1545,Helios,2 BRs,2 Baths,"$5,490","1,154 Sq Ft",Available Now,,1-3801,,B4 No Terrace,,
1546,Helios,1 Bed,1 Bath,"$2,775",858 Sq Ft,May 30,,,,A4a w/ Balcony,,
1547,Helios,1 Bed,1 Bath,"$2,775",858 Sq Ft,May 30,,1-1201,,A4a w/ Balcony,,
1548,Helios,1 Bed,1 Bath,"$2,980",745 - 756 Sq Ft,May 30,,,,A9b,,
1549,Helios,1 Bed,1 Bath,"$2,980",745 Sq Ft,May 30,,1-2513,,A9b,,
1550,Helios,1 Bed,1 Bath,"$3,440",860 Sq Ft,Jun 1,,1-3609,,A15,,
1551,Helios,1 Bed,1 Bath,"$2,665 - 2,690",745 Sq Ft,Jun 2,,,,A9a,,
1552,Helios,1 Bed,1 Bath,"$2,690",745 Sq Ft,Jun 2,,1-1313,,A9a,,
1553,Helios,Studio,1 Bath,"$2,040",522 - 529 Sq Ft,Jun 3,,,,S5b,New,
1554,Helios,Studio,1 Bath,"$2,040",522 Sq Ft,Jun 3,,1-2110,,S5b,New,
1555,Helios,1 Bed,1 Bath,"$3,220 - 3,300",858 - 861 Sq Ft,Jun 4,,,,A4b,,
1556,Helios,1 Bed,1 Bath,"$3,220",858 Sq Ft,Jun 4,,1-1801,,A4b,,
