neighborhood,zipCode,bedRoomNumber,baths,Unnamed: 0_x,reviewScore,reviewCount,walkScore,transitScore,Unnamed: 0_y,rent,sqft,availability,deposit,leaseLength
Brighton,98118,1,1.5,237.5,5.0,,84.0,66.0,5080.333333333333,2700.0,1256.0,,,
Brighton,98118,2,1.0,383.0,,24.0,83.5,64.83333333333333,6925.5,1722.5,933.3333333333334,1.0,750.0,12.0
Brighton,98118,2,2.0,239.66666666666666,5.0,24.0,84.2,66.0,5117.7,2954.3333333333335,1028.2666666666667,1.0,,
Broadview,98133,1,1.0,379.25,4.0,,63.75,50.0,8445.5,1595.0,653.25,1.0,1595.0,
Broadview,98133,2,2.0,308.9,4.0,3.0,62.2,50.0,8189.2,1968.111111111111,942.65,1.0,,
Bryant,98105,1,1.0,542.25,,,79.25,61.75,9659.5,1545.0,600.0,1.0,1695.0,12.0
Bryant,98115,4,2.0,533.0,,,77.0,56.0,9651.0,4100.0,2480.0,1.0,4100.0,
Bryn Mawr-Skyway,98178,1,1.0,269.8,5.0,5.0,30.8,,7238.6,1358.0,682.2,1.0,,
Bryn Mawr-Skyway,98178,2,1.0,269.8,5.0,5.0,30.8,,7241.2,1582.6,920.0,1.0,,
Bryn Mawr-Skyway,98178,2,1.5,390.0,5.0,,30.0,40.0,9118.0,2600.0,1330.0,1.0,,
Bryn Mawr-Skyway,98178,2,2.0,337.8,5.0,7.0,37.6,,8266.6,1718.8,998.2,1.0,,
Bryn Mawr-Skyway,98178,3,1.0,622.0,,,43.0,,9879.0,2700.0,1200.0,1.0,,
Bryn Mawr-Skyway,98178,3,2.0,425.6666666666667,5.0,7.0,19.666666666666668,41.0,8511.0,2333.3333333333335,1716.6666666666667,1.0,,
Capitol Hill,98102,1,1.0,315.1857142857143,4.859649122807017,1.4,97.91428571428571,84.48571428571428,7394.885714285714,1880.179487179487,577.65,1.0,1687.5,12.0
Capitol Hill,98102,2,1.0,451.25,4.333333333333333,,88.5,75.25,9203.75,2104.5,736.875,1.0,2200.0,
Capitol Hill,98102,2,2.0,312.6,5.0,2.0,97.6,84.0,7169.05,3061.8571428571427,936.3,1.0,3895.0,12.0
Capitol Hill,98112,1,1.0,510.0,,,97.0,80.0,9595.0,1450.0,600.0,1.0,500.0,12.0
Capitol Hill,98122,1,1.0,191.52062868369353,4.740932642487047,2.4235668789808917,99.48330058939096,94.68172888015717,5419.4970530451865,2004.6452702702702,601.0867346938776,1.0,800.0,12.0
Capitol Hill,98122,1,1.5,126.0,5.0,3.0,99.66666666666667,89.66666666666667,4032.3333333333335,2210.0,863.3333333333334,,,
Capitol Hill,98122,1,2.0,156.125,5.0,2.4,100.0,97.29166666666667,4648.708333333333,3585.2,1214.923076923077,1.0,,
Capitol Hill,98122,2,1.0,201.3846153846154,4.428571428571429,4.666666666666667,99.38461538461539,94.61538461538461,5249.153846153846,3553.285714285714,934.9230769230769,1.0,,
Capitol Hill,98122,2,1.5,51.0,5.0,,100.0,92.0,2209.0,,1213.0,,,
Capitol Hill,98122,2,2.0,128.8860759493671,5.0,3.641025641025641,99.56962025316456,94.84810126582279,4151.860759493671,3886.3513513513512,1124.7025316455697,1.0,2450.0,6.0
Capitol Hill,98122,2,2.5,51.0,5.0,,100.0,92.0,2210.0,,1299.0,,,
Capitol Hill,98122,2,3.0,29.0,,1.0,100.0,97.0,1176.0,,1136.0,,,
Capitol Hill,98122,3,2.0,85.0,,12.0,99.0,100.0,3242.5,4927.5,1474.0,,,
